"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"01.01.2016 00:00 - 01.01.2016 01:00","N/A","0","n/e","0"
"01.01.2016 01:00 - 01.01.2016 02:00","N/A","0","n/e","0"
"01.01.2016 02:00 - 01.01.2016 03:00","N/A","0","n/e","0"
"01.01.2016 03:00 - 01.01.2016 04:00","N/A","0","n/e","0"
"01.01.2016 04:00 - 01.01.2016 05:00","N/A","0","n/e","0"
"01.01.2016 05:00 - 01.01.2016 06:00","N/A","0","n/e","0"
"01.01.2016 06:00 - 01.01.2016 07:00","N/A","0","n/e","0"
"01.01.2016 07:00 - 01.01.2016 08:00","N/A","10","n/e","0"
"01.01.2016 08:00 - 01.01.2016 09:00","N/A","225","n/e","0"
"01.01.2016 09:00 - 01.01.2016 10:00","N/A","150","n/e","0"
"01.01.2016 10:00 - 01.01.2016 11:00","N/A","25","n/e","0"
"01.01.2016 11:00 - 01.01.2016 12:00","N/A","0","n/e","0"
"01.01.2016 12:00 - 01.01.2016 13:00","N/A","0","n/e","0"
"01.01.2016 13:00 - 01.01.2016 14:00","N/A","0","n/e","0"
"01.01.2016 14:00 - 01.01.2016 15:00","N/A","0","n/e","0"
"01.01.2016 15:00 - 01.01.2016 16:00","N/A","0","n/e","0"
"01.01.2016 16:00 - 01.01.2016 17:00","N/A","0","n/e","0"
"01.01.2016 17:00 - 01.01.2016 18:00","N/A","128","n/e","0"
"01.01.2016 18:00 - 01.01.2016 19:00","N/A","230","n/e","0"
"01.01.2016 19:00 - 01.01.2016 20:00","N/A","145","n/e","0"
"01.01.2016 20:00 - 01.01.2016 21:00","N/A","116","n/e","0"
"01.01.2016 21:00 - 01.01.2016 22:00","N/A","220","n/e","0"
"01.01.2016 22:00 - 01.01.2016 23:00","N/A","500","n/e","0"
"01.01.2016 23:00 - 02.01.2016 00:00","N/A","0","n/e","0"
"02.01.2016 00:00 - 02.01.2016 01:00","N/A","25","n/e","0"
"02.01.2016 01:00 - 02.01.2016 02:00","N/A","0","n/e","0"
"02.01.2016 02:00 - 02.01.2016 03:00","N/A","0","n/e","0"
"02.01.2016 03:00 - 02.01.2016 04:00","N/A","0","n/e","0"
"02.01.2016 04:00 - 02.01.2016 05:00","N/A","0","n/e","0"
"02.01.2016 05:00 - 02.01.2016 06:00","N/A","0","n/e","0"
"02.01.2016 06:00 - 02.01.2016 07:00","N/A","0","n/e","0"
"02.01.2016 07:00 - 02.01.2016 08:00","N/A","0","n/e","0"
"02.01.2016 08:00 - 02.01.2016 09:00","N/A","0","n/e","0"
"02.01.2016 09:00 - 02.01.2016 10:00","N/A","0","n/e","0"
"02.01.2016 10:00 - 02.01.2016 11:00","N/A","0","n/e","0"
"02.01.2016 11:00 - 02.01.2016 12:00","N/A","0","n/e","0"
"02.01.2016 12:00 - 02.01.2016 13:00","N/A","0","n/e","0"
"02.01.2016 13:00 - 02.01.2016 14:00","N/A","0","n/e","0"
"02.01.2016 14:00 - 02.01.2016 15:00","N/A","0","n/e","0"
"02.01.2016 15:00 - 02.01.2016 16:00","N/A","0","n/e","0"
"02.01.2016 16:00 - 02.01.2016 17:00","N/A","0","n/e","0"
"02.01.2016 17:00 - 02.01.2016 18:00","N/A","0","n/e","0"
"02.01.2016 18:00 - 02.01.2016 19:00","N/A","0","n/e","0"
"02.01.2016 19:00 - 02.01.2016 20:00","N/A","0","n/e","0"
"02.01.2016 20:00 - 02.01.2016 21:00","N/A","0","n/e","0"
"02.01.2016 21:00 - 02.01.2016 22:00","N/A","0","n/e","0"
"02.01.2016 22:00 - 02.01.2016 23:00","N/A","0","n/e","0"
"02.01.2016 23:00 - 03.01.2016 00:00","N/A","0","n/e","0"
"03.01.2016 00:00 - 03.01.2016 01:00","N/A","0","n/e","0"
"03.01.2016 01:00 - 03.01.2016 02:00","N/A","0","n/e","0"
"03.01.2016 02:00 - 03.01.2016 03:00","N/A","0","n/e","0"
"03.01.2016 03:00 - 03.01.2016 04:00","N/A","0","n/e","0"
"03.01.2016 04:00 - 03.01.2016 05:00","N/A","0","n/e","0"
"03.01.2016 05:00 - 03.01.2016 06:00","N/A","0","n/e","0"
"03.01.2016 06:00 - 03.01.2016 07:00","N/A","0","n/e","0"
"03.01.2016 07:00 - 03.01.2016 08:00","N/A","0","n/e","0"
"03.01.2016 08:00 - 03.01.2016 09:00","N/A","0","n/e","0"
"03.01.2016 09:00 - 03.01.2016 10:00","N/A","0","n/e","0"
"03.01.2016 10:00 - 03.01.2016 11:00","N/A","0","n/e","0"
"03.01.2016 11:00 - 03.01.2016 12:00","N/A","0","n/e","0"
"03.01.2016 12:00 - 03.01.2016 13:00","N/A","0","n/e","0"
"03.01.2016 13:00 - 03.01.2016 14:00","N/A","0","n/e","0"
"03.01.2016 14:00 - 03.01.2016 15:00","N/A","0","n/e","0"
"03.01.2016 15:00 - 03.01.2016 16:00","N/A","0","n/e","0"
