"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"04.01.2018 17:00 - 04.01.2018 18:00","0","0","0","200"
"04.01.2018 18:00 - 04.01.2018 19:00","0","0","0","200"
"04.01.2018 19:00 - 04.01.2018 20:00","0","0","25","225"
"04.01.2018 20:00 - 04.01.2018 21:00","0","0","275","375"
"04.01.2018 21:00 - 04.01.2018 22:00","0","0","290","290"
"04.01.2018 22:00 - 04.01.2018 23:00","81","81","200","200"
"04.01.2018 23:00 - 05.01.2018 00:00","0","0","152","152"
"05.01.2018 00:00 - 05.01.2018 01:00","0","0","0","0"
"05.01.2018 01:00 - 05.01.2018 02:00","0","0","0","0"
"05.01.2018 02:00 - 05.01.2018 03:00","0","0","0","0"
"05.01.2018 03:00 - 05.01.2018 04:00","0","0","0","0"
"05.01.2018 04:00 - 05.01.2018 05:00","0","0","0","0"
"05.01.2018 05:00 - 05.01.2018 06:00","0","0","0","0"
"05.01.2018 06:00 - 05.01.2018 07:00","0","0","0","0"
"05.01.2018 07:00 - 05.01.2018 08:00","0","0","175","175"
"05.01.2018 08:00 - 05.01.2018 09:00","42","42","115","115"
"05.01.2018 09:00 - 05.01.2018 10:00","70","70","175","175"
"05.01.2018 10:00 - 05.01.2018 11:00","136","136","95","95"
"05.01.2018 11:00 - 05.01.2018 12:00","155","155","20","20"
"05.01.2018 12:00 - 05.01.2018 13:00","250","250","20","120"
"05.01.2018 13:00 - 05.01.2018 14:00","540","540","50","150"
"05.01.2018 14:00 - 05.01.2018 15:00","567","567","0","100"
"05.01.2018 15:00 - 05.01.2018 16:00","602","602","0","50"
"05.01.2018 16:00 - 05.01.2018 17:00","390","390","0","100"
"05.01.2018 17:00 - 05.01.2018 18:00","300","300","0","0"
"05.01.2018 18:00 - 05.01.2018 19:00","400","400","0","0"
"05.01.2018 19:00 - 05.01.2018 20:00","455","455","0","0"
"05.01.2018 20:00 - 05.01.2018 21:00","680","680","0","100"
"05.01.2018 21:00 - 05.01.2018 22:00","395","395","0","0"
"05.01.2018 22:00 - 05.01.2018 23:00","1365","1365","15","15"
"05.01.2018 23:00 - 06.01.2018 00:00","680","680","70","170"
"06.01.2018 00:00 - 06.01.2018 01:00","100","100","110","110"
"06.01.2018 01:00 - 06.01.2018 02:00","68","68","0","0"
"06.01.2018 02:00 - 06.01.2018 03:00","0","0","0","0"
"06.01.2018 03:00 - 06.01.2018 04:00","0","0","0","0"
"06.01.2018 04:00 - 06.01.2018 05:00","0","0","0","0"
"06.01.2018 05:00 - 06.01.2018 06:00","0","0","0","0"
"06.01.2018 06:00 - 06.01.2018 07:00","0","0","0","0"
"06.01.2018 07:00 - 06.01.2018 08:00","178","178","0","0"
"06.01.2018 08:00 - 06.01.2018 09:00","271","271","0","0"
"06.01.2018 09:00 - 06.01.2018 10:00","986","986","0","100"
"06.01.2018 10:00 - 06.01.2018 11:00","1080","1080","0","0"
"06.01.2018 11:00 - 06.01.2018 12:00","1109","1109","0","70"
"06.01.2018 12:00 - 06.01.2018 13:00","1029","1029","0","0"
"06.01.2018 13:00 - 06.01.2018 14:00","900","900","0","0"
"06.01.2018 14:00 - 06.01.2018 15:00","1200","1200","0","130"
"06.01.2018 15:00 - 06.01.2018 16:00","1250","1250","0","180"
"06.01.2018 16:00 - 06.01.2018 17:00","261","261","12","62"
"06.01.2018 17:00 - 06.01.2018 18:00","737","737","0","150"
"06.01.2018 18:00 - 06.01.2018 19:00","905","905","0","0"
"06.01.2018 19:00 - 06.01.2018 20:00","681","681","0","43"
"06.01.2018 20:00 - 06.01.2018 21:00","301","301","0","155"
"06.01.2018 21:00 - 06.01.2018 22:00","0","0","40","115"
"06.01.2018 22:00 - 06.01.2018 23:00","164","164","0","75"
"06.01.2018 23:00 - 07.01.2018 00:00","0","0","55","55"
"07.01.2018 00:00 - 07.01.2018 01:00","0","0","105","105"
"07.01.2018 01:00 - 07.01.2018 02:00","0","0","63","63"
"07.01.2018 02:00 - 07.01.2018 03:00","0","0","0","0"
"07.01.2018 03:00 - 07.01.2018 04:00","0","0","0","0"
"07.01.2018 04:00 - 07.01.2018 05:00","0","0","0","0"
"07.01.2018 05:00 - 07.01.2018 06:00","0","0","0","0"
"07.01.2018 06:00 - 07.01.2018 07:00","0","0","0","0"
"07.01.2018 07:00 - 07.01.2018 08:00","0","0","0","0"
"07.01.2018 08:00 - 07.01.2018 09:00","0","0","50","50"
"07.01.2018 09:00 - 07.01.2018 10:00","0","0","61","61"
"07.01.2018 10:00 - 07.01.2018 11:00","0","0","61","61"
"07.01.2018 11:00 - 07.01.2018 12:00","0","0","61","61"
"07.01.2018 12:00 - 07.01.2018 13:00","0","0","71","71"
"07.01.2018 13:00 - 07.01.2018 14:00","0","0","64","64"
"07.01.2018 14:00 - 07.01.2018 15:00","0","0","67","67"
"07.01.2018 15:00 - 07.01.2018 16:00","0","0","57","57"
"07.01.2018 16:00 - 07.01.2018 17:00","0","0","56","56"
"07.01.2018 17:00 - 07.01.2018 18:00","0","0","66","66"
"07.01.2018 18:00 - 07.01.2018 19:00","0","0","67","67"
"07.01.2018 19:00 - 07.01.2018 20:00","0","0","70","70"
"07.01.2018 20:00 - 07.01.2018 21:00","0","0","60","60"
"07.01.2018 21:00 - 07.01.2018 22:00","0","0","72","72"
"07.01.2018 22:00 - 07.01.2018 23:00","0","0","72","72"
"07.01.2018 23:00 - 08.01.2018 00:00","0","0","105","105"
"08.01.2018 00:00 - 08.01.2018 01:00","0","0","0","0"
"08.01.2018 01:00 - 08.01.2018 02:00","0","0","0","0"
"08.01.2018 02:00 - 08.01.2018 03:00","0","0","0","0"
"08.01.2018 03:00 - 08.01.2018 04:00","0","0","0","0"
"08.01.2018 04:00 - 08.01.2018 05:00","0","0","0","0"
"08.01.2018 05:00 - 08.01.2018 06:00","0","0","150","150"
"08.01.2018 06:00 - 08.01.2018 07:00","0","0","315","315"
"08.01.2018 07:00 - 08.01.2018 08:00","0","0","174","174"
"08.01.2018 08:00 - 08.01.2018 09:00","0","0","469","669"
"08.01.2018 09:00 - 08.01.2018 10:00","0","0","476","676"
"08.01.2018 10:00 - 08.01.2018 11:00","0","0","446","446"
"08.01.2018 11:00 - 08.01.2018 12:00","0","0","397","397"
"08.01.2018 12:00 - 08.01.2018 13:00","0","0","378","378"
"08.01.2018 13:00 - 08.01.2018 14:00","0","0","397","397"
