,PrixAct,CapaInst,Duree,NAct,Capamoy
Steel,411.0,542.7781783225187,4.0,50.0,542.7781783225184
Aluminium,164.0,158.99518081432853,4.0,50.0,158.99518081432853
Chlorine,96.0,260.6154896975676,4.0,50.0,260.6154896975676
Hydrogene,100.0,5723.443223443223,4.0,50.0,5723.4432234432215
