,Tech. 0,Tech. 1,Tech. 2,Tech. 3,Tech. 4,Tech. 5,Tech. 6,Tech. 7,Tech. 8
0,0.4,0.7909513087531663,0.3825,0.5,0.11562245981813456,0.5286206896551724,0.7735214931335936,0.6061111111111112,0.675
1,0.4,0.7909513087531663,0.405,0.5,0.11642684746387208,0.5182758620689655,0.7735214931335936,0.6031944444444444,0.675
2,0.4,0.7909513087531663,0.45,0.5,0.11803562275534712,0.526293103448276,0.7735214931335936,0.6009027777777777,0.675
3,0.4,0.7909513087531663,0.45,0.5,0.11803562275534712,0.5337931034482759,0.7735214931335936,0.6075694444444444,0.675
4,0.4,0.7909513087531663,0.45,0.5,0.11803562275534712,0.5464655172413794,0.7735214931335936,0.6156944444444443,0.675
5,0.4,0.7909513087531663,0.3825,0.5,0.11562245981813456,0.5816379310344828,0.7735214931335936,0.6438194444444445,0.675
6,0.36,0.7909513087531663,0.315,0.5,0.12467843223798909,0.6571551724137932,0.7735214931335936,0.7015277777777778,0.675
7,0.27999999999999997,0.7909513087531663,0.225,0.5,0.13547871375812104,0.72,0.7735214931335936,0.751111111111111,0.675
8,0.2,0.7909513087531663,0.225,0.5,0.13547871375812104,0.75,0.7735214931335936,0.7777777777777777,0.675
9,0.15999999999999998,0.7909513087531663,0.225,0.5,0.13547871375812104,0.7228448275862069,0.7735214931335936,0.7473611111111109,0.675
10,0.12800000000000003,0.7909513087531663,0.225,0.5,0.13547871375812104,0.675,0.7735214931335936,0.7111111111111109,0.675
11,0.12800000000000003,0.7909513087531663,0.24750000000000003,0.5,0.13628310140385858,0.6294827586206896,0.7735214931335936,0.6800694444444444,0.675
12,0.12800000000000003,0.7909513087531663,0.24750000000000003,0.5,0.13628310140385858,0.5961206896551724,0.7735214931335936,0.666111111111111,0.675
13,0.2,0.7909513087531663,0.27,0.5,0.1370874890495961,0.5707758620689655,0.7735214931335936,0.6498611111111109,0.675
14,0.2,0.7909513087531663,0.29250000000000004,0.5,0.13789187669533362,0.5637931034482759,0.7735214931335936,0.6342361111111111,0.675
15,0.2,0.7909513087531663,0.315,0.5,0.13869626434107116,0.5614655172413793,0.7735214931335936,0.6290277777777777,0.675
16,0.12800000000000003,0.7909513087531663,0.3375,0.5,0.13950065198680867,0.5619827586206897,0.7735214931335936,0.6200694444444443,0.675
17,0.15999999999999998,0.7909513087531663,0.315,0.5,0.13869626434107116,0.5596551724137931,0.7735214931335936,0.6148611111111111,0.675
18,0.27999999999999997,0.7909513087531663,0.27,0.5,0.1370874890495961,0.5625,0.7735214931335936,0.611111111111111,0.675
19,0.36,0.7909513087531663,0.27,0.5,0.1370874890495961,0.555,0.7735214931335936,0.6044444444444443,0.675
20,0.4,0.7909513087531663,0.36000000000000004,0.5,0.1403050396325462,0.5625,0.7735214931335936,0.611111111111111,0.675
21,0.4,0.7909513087531663,0.4275,0.5,0.14271820256975876,0.5648275862068965,0.7735214931335936,0.6163194444444444,0.675
22,0.4,0.7909513087531663,0.4275,0.5,0.1287003704666767,0.5671551724137931,0.7735214931335936,0.6215277777777777,0.675
23,0.4,0.7909513087531663,0.4275,0.5,0.1172312351096096,0.5516379310344828,0.7735214931335936,0.6171527777777777,0.675
24,0.4,0.7909513087531663,0.3825,0.5,0.11562245981813456,0.5286206896551724,0.7735214931335936,0.6061111111111112,0.675
25,0.4,0.7909513087531663,0.405,0.5,0.11642684746387208,0.5182758620689655,0.7735214931335936,0.6031944444444444,0.675
26,0.4,0.7909513087531663,0.45,0.5,0.11803562275534712,0.526293103448276,0.7735214931335936,0.6009027777777777,0.675
27,0.4,0.7909513087531663,0.45,0.5,0.11803562275534712,0.5337931034482759,0.7735214931335936,0.6075694444444444,0.675
28,0.4,0.7909513087531663,0.45,0.5,0.11803562275534712,0.5464655172413794,0.7735214931335936,0.6156944444444443,0.675
29,0.4,0.7909513087531663,0.3825,0.5,0.11562245981813456,0.5816379310344828,0.7735214931335936,0.6438194444444445,0.675
30,0.36,0.7909513087531663,0.315,0.5,0.12467843223798909,0.6571551724137932,0.7735214931335936,0.7015277777777778,0.675
31,0.27999999999999997,0.7909513087531663,0.225,0.5,0.13547871375812104,0.72,0.7735214931335936,0.751111111111111,0.675
32,0.2,0.7909513087531663,0.225,0.5,0.13547871375812104,0.75,0.7735214931335936,0.7777777777777777,0.675
33,0.15999999999999998,0.7909513087531663,0.225,0.5,0.13547871375812104,0.7228448275862069,0.7735214931335936,0.7473611111111109,0.675
34,0.12800000000000003,0.7909513087531663,0.225,0.5,0.13547871375812104,0.675,0.7735214931335936,0.7111111111111109,0.675
35,0.12800000000000003,0.7909513087531663,0.24750000000000003,0.5,0.13628310140385858,0.6294827586206896,0.7735214931335936,0.6800694444444444,0.675
36,0.12800000000000003,0.7909513087531663,0.24750000000000003,0.5,0.13628310140385858,0.5961206896551724,0.7735214931335936,0.666111111111111,0.675
37,0.2,0.7909513087531663,0.27,0.5,0.1370874890495961,0.5707758620689655,0.7735214931335936,0.6498611111111109,0.675
38,0.2,0.7909513087531663,0.29250000000000004,0.5,0.13789187669533362,0.5637931034482759,0.7735214931335936,0.6342361111111111,0.675
39,0.2,0.7909513087531663,0.315,0.5,0.13869626434107116,0.5614655172413793,0.7735214931335936,0.6290277777777777,0.675
40,0.12800000000000003,0.7909513087531663,0.3375,0.5,0.13950065198680867,0.5619827586206897,0.7735214931335936,0.6200694444444443,0.675
41,0.15999999999999998,0.7909513087531663,0.315,0.5,0.13869626434107116,0.5596551724137931,0.7735214931335936,0.6148611111111111,0.675
