Time (CET/CEST),BZN|GB > BZN|FR Day Ahead [MW],BZN|GB > BZN|FR Total [MW],BZN|FR > BZN|GB Day Ahead [MW],BZN|FR > BZN|GB Total [MW]
04.01.2022 19:00 - 04.01.2022 20:00,846,1246,1294,2435
04.01.2022 20:00 - 04.01.2022 21:00,796,796,1363,2810
04.01.2022 21:00 - 04.01.2022 22:00,106,106,1409,2120
04.01.2022 22:00 - 04.01.2022 23:00,994,1188,1074,2958
04.01.2022 23:00 - 05.01.2022 00:00,1523,1843,316,2944
05.01.2022 00:00 - 05.01.2022 01:00,624,891,1307,1611
05.01.2022 01:00 - 05.01.2022 02:00,601,884,1279,1727
05.01.2022 02:00 - 05.01.2022 03:00,232,324,1173,1890
05.01.2022 03:00 - 05.01.2022 04:00,574,728,1241,1954
05.01.2022 04:00 - 05.01.2022 05:00,729,1029,1099,1746
05.01.2022 05:00 - 05.01.2022 06:00,868,1767,844,1266
05.01.2022 06:00 - 05.01.2022 07:00,1033,1649,930,1423
05.01.2022 07:00 - 05.01.2022 08:00,877,1540,1016,1416
05.01.2022 08:00 - 05.01.2022 09:00,2431,2440,659,2078
05.01.2022 09:00 - 05.01.2022 10:00,1478,1702,961,1740
05.01.2022 10:00 - 05.01.2022 11:00,929,1079,1490,2455
05.01.2022 11:00 - 05.01.2022 12:00,773,923,1483,2606
05.01.2022 12:00 - 05.01.2022 13:00,702,817,1903,2050
05.01.2022 13:00 - 05.01.2022 14:00,240,375,2179,2209
05.01.2022 14:00 - 05.01.2022 15:00,215,265,2229,2229
05.01.2022 15:00 - 05.01.2022 16:00,0,0,2014,2014
05.01.2022 16:00 - 05.01.2022 17:00,276,276,1802,2290
05.01.2022 17:00 - 05.01.2022 18:00,0,0,1946,2014
05.01.2022 18:00 - 05.01.2022 19:00,0,0,2014,2014
05.01.2022 19:00 - 05.01.2022 20:00,0,0,2014,2014
05.01.2022 20:00 - 05.01.2022 21:00,0,0,2014,2014
05.01.2022 21:00 - 05.01.2022 22:00,0,0,2014,2014
05.01.2022 22:00 - 05.01.2022 23:00,0,0,1982,2014
