"Time (CET/CEST)","BZN|GB > BZN|FR Day Ahead [MW]","BZN|GB > BZN|FR Total [MW]","BZN|FR > BZN|GB Day Ahead [MW]","BZN|FR > BZN|GB Total [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","n/e","50","n/e","48"
"01.01.2017 01:00 - 01.01.2017 02:00","n/e","0","n/e","1000"
"01.01.2017 02:00 - 01.01.2017 03:00","n/e","0","n/e","1000"
"01.01.2017 03:00 - 01.01.2017 04:00","n/e","0","n/e","1000"
"01.01.2017 04:00 - 01.01.2017 05:00","n/e","0","n/e","1000"
"01.01.2017 05:00 - 01.01.2017 06:00","n/e","0","n/e","319"
"01.01.2017 06:00 - 01.01.2017 07:00","n/e","0","n/e","19"
"01.01.2017 07:00 - 01.01.2017 08:00","n/e","124","n/e","19"
"01.01.2017 08:00 - 01.01.2017 09:00","n/e","1019","n/e","19"
"01.01.2017 09:00 - 01.01.2017 10:00","n/e","379","n/e","19"
"01.01.2017 10:00 - 01.01.2017 11:00","n/e","0","n/e","19"
"01.01.2017 11:00 - 01.01.2017 12:00","n/e","0","n/e","1000"
"01.01.2017 12:00 - 01.01.2017 13:00","n/e","0","n/e","1000"
"01.01.2017 13:00 - 01.01.2017 14:00","n/e","0","n/e","1000"
"01.01.2017 14:00 - 01.01.2017 15:00","n/e","50","n/e","1000"
"01.01.2017 15:00 - 01.01.2017 16:00","n/e","50","n/e","1000"
"01.01.2017 16:00 - 01.01.2017 17:00","n/e","0","n/e","1000"
"01.01.2017 17:00 - 01.01.2017 18:00","n/e","0","n/e","1000"
"01.01.2017 18:00 - 01.01.2017 19:00","n/e","0","n/e","1000"
"01.01.2017 19:00 - 01.01.2017 20:00","n/e","50","n/e","1000"
"01.01.2017 20:00 - 01.01.2017 21:00","n/e","627","n/e","53"
"01.01.2017 21:00 - 01.01.2017 22:00","n/e","677","n/e","1000"
"01.01.2017 22:00 - 01.01.2017 23:00","n/e","507","n/e","368"
"01.01.2017 23:00 - 02.01.2017 00:00","n/e","682","n/e","19"
"02.01.2017 00:00 - 02.01.2017 01:00","n/e","877","n/e","0"
"02.01.2017 01:00 - 02.01.2017 02:00","n/e","300","n/e","325"
"02.01.2017 02:00 - 02.01.2017 03:00","n/e","300","n/e","1000"
"02.01.2017 03:00 - 02.01.2017 04:00","n/e","200","n/e","1000"
"02.01.2017 04:00 - 02.01.2017 05:00","n/e","395","n/e","1000"
"02.01.2017 05:00 - 02.01.2017 06:00","n/e","395","n/e","620"
"02.01.2017 06:00 - 02.01.2017 07:00","n/e","50","n/e","0"
"02.01.2017 07:00 - 02.01.2017 08:00","n/e","445","n/e","359"
"02.01.2017 08:00 - 02.01.2017 09:00","n/e","1000","n/e","0"
"02.01.2017 09:00 - 02.01.2017 10:00","n/e","1000","n/e","0"
"02.01.2017 10:00 - 02.01.2017 11:00","n/e","1000","n/e","0"
"02.01.2017 11:00 - 02.01.2017 12:00","n/e","1000","n/e","0"
"02.01.2017 12:00 - 02.01.2017 13:00","n/e","1000","n/e","0"
"02.01.2017 13:00 - 02.01.2017 14:00","n/e","1000","n/e","0"
"02.01.2017 14:00 - 02.01.2017 15:00","n/e","899","n/e","0"
"02.01.2017 15:00 - 02.01.2017 16:00","n/e","799","n/e","0"
