"Time (CET/CEST)","BZN|GB > BZN|FR Day Ahead [MW]","BZN|GB > BZN|FR Total [MW]","BZN|FR > BZN|GB Day Ahead [MW]","BZN|FR > BZN|GB Total [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","n/e","296","n/e","2000"
"01.01.2018 01:00 - 01.01.2018 02:00","n/e","593","n/e","2000"
"01.01.2018 02:00 - 01.01.2018 03:00","n/e","593","n/e","2000"
"01.01.2018 03:00 - 01.01.2018 04:00","n/e","693","n/e","2000"
"01.01.2018 04:00 - 01.01.2018 05:00","n/e","693","n/e","2000"
"01.01.2018 05:00 - 01.01.2018 06:00","n/e","693","n/e","2000"
"01.01.2018 06:00 - 01.01.2018 07:00","n/e","693","n/e","2000"
"01.01.2018 07:00 - 01.01.2018 08:00","n/e","693","n/e","2000"
"01.01.2018 08:00 - 01.01.2018 09:00","n/e","1185","n/e","2000"
"01.01.2018 09:00 - 01.01.2018 10:00","n/e","1284","n/e","2000"
"01.01.2018 10:00 - 01.01.2018 11:00","n/e","690","n/e","2000"
"01.01.2018 11:00 - 01.01.2018 12:00","n/e","197","n/e","2000"
"01.01.2018 12:00 - 01.01.2018 13:00","n/e","197","n/e","2000"
"01.01.2018 13:00 - 01.01.2018 14:00","n/e","197","n/e","2000"
"01.01.2018 14:00 - 01.01.2018 15:00","n/e","197","n/e","2000"
"01.01.2018 15:00 - 01.01.2018 16:00","n/e","197","n/e","2000"
"01.01.2018 16:00 - 01.01.2018 17:00","n/e","0","n/e","2000"
"01.01.2018 17:00 - 01.01.2018 18:00","n/e","0","n/e","2000"
"01.01.2018 18:00 - 01.01.2018 19:00","n/e","0","n/e","2000"
"01.01.2018 19:00 - 01.01.2018 20:00","n/e","0","n/e","2000"
"01.01.2018 20:00 - 01.01.2018 21:00","n/e","0","n/e","2000"
"01.01.2018 21:00 - 01.01.2018 22:00","n/e","0","n/e","2000"
"01.01.2018 22:00 - 01.01.2018 23:00","n/e","198","n/e","2000"
"01.01.2018 23:00 - 02.01.2018 00:00","n/e","395","n/e","2000"
"02.01.2018 00:00 - 02.01.2018 01:00","n/e","395","n/e","2000"
"02.01.2018 01:00 - 02.01.2018 02:00","n/e","395","n/e","2000"
"02.01.2018 02:00 - 02.01.2018 03:00","n/e","395","n/e","2000"
"02.01.2018 03:00 - 02.01.2018 04:00","n/e","395","n/e","2000"
"02.01.2018 04:00 - 02.01.2018 05:00","n/e","395","n/e","2000"
"02.01.2018 05:00 - 02.01.2018 06:00","n/e","395","n/e","2000"
"02.01.2018 06:00 - 02.01.2018 07:00","n/e","197","n/e","2000"
"02.01.2018 07:00 - 02.01.2018 08:00","n/e","99","n/e","2000"
"02.01.2018 08:00 - 02.01.2018 09:00","n/e","0","n/e","2000"
"02.01.2018 09:00 - 02.01.2018 10:00","n/e","0","n/e","2000"
"02.01.2018 10:00 - 02.01.2018 11:00","n/e","0","n/e","2000"
"02.01.2018 11:00 - 02.01.2018 12:00","n/e","0","n/e","2000"
"02.01.2018 12:00 - 02.01.2018 13:00","n/e","0","n/e","2000"
"02.01.2018 13:00 - 02.01.2018 14:00","n/e","0","n/e","2000"
"02.01.2018 14:00 - 02.01.2018 15:00","n/e","0","n/e","2000"
"02.01.2018 15:00 - 02.01.2018 16:00","n/e","0","n/e","2000"
"02.01.2018 16:00 - 02.01.2018 17:00","n/e","0","n/e","2000"
"02.01.2018 17:00 - 02.01.2018 18:00","n/e","0","n/e","2000"
"02.01.2018 18:00 - 02.01.2018 19:00","n/e","0","n/e","2000"
"02.01.2018 19:00 - 02.01.2018 20:00","n/e","0","n/e","2000"
"02.01.2018 20:00 - 02.01.2018 21:00","n/e","0","n/e","2000"
"02.01.2018 21:00 - 02.01.2018 22:00","n/e","0","n/e","2000"
"02.01.2018 22:00 - 02.01.2018 23:00","n/e","0","n/e","2000"
"02.01.2018 23:00 - 03.01.2018 00:00","n/e","0","n/e","2000"
"03.01.2018 00:00 - 03.01.2018 01:00","n/e","396","n/e","2000"
"03.01.2018 01:00 - 03.01.2018 02:00","n/e","495","n/e","2000"
"03.01.2018 02:00 - 03.01.2018 03:00","n/e","495","n/e","2000"
"03.01.2018 03:00 - 03.01.2018 04:00","n/e","495","n/e","2000"
"03.01.2018 04:00 - 03.01.2018 05:00","n/e","495","n/e","2000"
"03.01.2018 05:00 - 03.01.2018 06:00","n/e","495","n/e","2000"
"03.01.2018 06:00 - 03.01.2018 07:00","n/e","495","n/e","2000"
"03.01.2018 07:00 - 03.01.2018 08:00","n/e","198","n/e","2000"
"03.01.2018 08:00 - 03.01.2018 09:00","n/e","0","n/e","2000"
"03.01.2018 09:00 - 03.01.2018 10:00","n/e","0","n/e","2000"
"03.01.2018 10:00 - 03.01.2018 11:00","n/e","0","n/e","2000"
"03.01.2018 11:00 - 03.01.2018 12:00","n/e","0","n/e","2000"
"03.01.2018 12:00 - 03.01.2018 13:00","n/e","0","n/e","2000"
"03.01.2018 13:00 - 03.01.2018 14:00","n/e","0","n/e","2000"
"03.01.2018 14:00 - 03.01.2018 15:00","n/e","0","n/e","2000"
"03.01.2018 15:00 - 03.01.2018 16:00","n/e","0","n/e","2000"
"03.01.2018 16:00 - 03.01.2018 17:00","n/e","0","n/e","2000"
"03.01.2018 17:00 - 03.01.2018 18:00","n/e","0","n/e","2000"
"03.01.2018 18:00 - 03.01.2018 19:00","n/e","0","n/e","2000"
"03.01.2018 19:00 - 03.01.2018 20:00","n/e","0","n/e","2000"
"03.01.2018 20:00 - 03.01.2018 21:00","n/e","0","n/e","2000"
"03.01.2018 21:00 - 03.01.2018 22:00","n/e","0","n/e","2000"
"03.01.2018 22:00 - 03.01.2018 23:00","n/e","0","n/e","2000"
"03.01.2018 23:00 - 04.01.2018 00:00","n/e","0","n/e","2000"
"04.01.2018 00:00 - 04.01.2018 01:00","n/e","0","n/e","2000"
"04.01.2018 01:00 - 04.01.2018 02:00","n/e","0","n/e","2000"
"04.01.2018 02:00 - 04.01.2018 03:00","n/e","0","n/e","2000"
"04.01.2018 03:00 - 04.01.2018 04:00","n/e","0","n/e","2000"
"04.01.2018 04:00 - 04.01.2018 05:00","n/e","0","n/e","2000"
"04.01.2018 05:00 - 04.01.2018 06:00","n/e","0","n/e","2000"
"04.01.2018 06:00 - 04.01.2018 07:00","n/e","0","n/e","2000"
"04.01.2018 07:00 - 04.01.2018 08:00","n/e","0","n/e","2000"
"04.01.2018 08:00 - 04.01.2018 09:00","n/e","0","n/e","2000"
"04.01.2018 09:00 - 04.01.2018 10:00","n/e","0","n/e","2000"
"04.01.2018 10:00 - 04.01.2018 11:00","n/e","0","n/e","2000"
"04.01.2018 11:00 - 04.01.2018 12:00","n/e","0","n/e","2000"
"04.01.2018 12:00 - 04.01.2018 13:00","n/e","0","n/e","2000"
"04.01.2018 13:00 - 04.01.2018 14:00","n/e","0","n/e","2000"
"04.01.2018 14:00 - 04.01.2018 15:00","n/e","0","n/e","2000"
"04.01.2018 15:00 - 04.01.2018 16:00","n/e","0","n/e","2000"
"04.01.2018 16:00 - 04.01.2018 17:00","n/e","0","n/e","2000"
"04.01.2018 17:00 - 04.01.2018 18:00","n/e","0","n/e","2000"
"04.01.2018 18:00 - 04.01.2018 19:00","n/e","0","n/e","2000"
"04.01.2018 19:00 - 04.01.2018 20:00","n/e","0","n/e","2000"
"04.01.2018 20:00 - 04.01.2018 21:00","n/e","0","n/e","2000"
"04.01.2018 21:00 - 04.01.2018 22:00","n/e","0","n/e","2000"
"04.01.2018 22:00 - 04.01.2018 23:00","n/e","0","n/e","2000"
"04.01.2018 23:00 - 05.01.2018 00:00","n/e","0","n/e","2000"
"05.01.2018 00:00 - 05.01.2018 01:00","n/e","0","n/e","2000"
"05.01.2018 01:00 - 05.01.2018 02:00","n/e","0","n/e","2000"
"05.01.2018 02:00 - 05.01.2018 03:00","n/e","0","n/e","2000"
"05.01.2018 03:00 - 05.01.2018 04:00","n/e","0","n/e","2000"
"05.01.2018 04:00 - 05.01.2018 05:00","n/e","0","n/e","2000"
"05.01.2018 05:00 - 05.01.2018 06:00","n/e","0","n/e","2000"
"05.01.2018 06:00 - 05.01.2018 07:00","n/e","0","n/e","2000"
"05.01.2018 07:00 - 05.01.2018 08:00","n/e","0","n/e","2000"
"05.01.2018 08:00 - 05.01.2018 09:00","n/e","0","n/e","2000"
"05.01.2018 09:00 - 05.01.2018 10:00","n/e","0","n/e","2000"
"05.01.2018 10:00 - 05.01.2018 11:00","n/e","0","n/e","2000"
"05.01.2018 11:00 - 05.01.2018 12:00","n/e","0","n/e","2000"
"05.01.2018 12:00 - 05.01.2018 13:00","n/e","0","n/e","2000"
"05.01.2018 13:00 - 05.01.2018 14:00","n/e","0","n/e","2000"
"05.01.2018 14:00 - 05.01.2018 15:00","n/e","0","n/e","2000"
"05.01.2018 15:00 - 05.01.2018 16:00","n/e","0","n/e","2000"
"05.01.2018 16:00 - 05.01.2018 17:00","n/e","0","n/e","2000"
"05.01.2018 17:00 - 05.01.2018 18:00","n/e","0","n/e","2000"
"05.01.2018 18:00 - 05.01.2018 19:00","n/e","0","n/e","2000"
"05.01.2018 19:00 - 05.01.2018 20:00","n/e","0","n/e","2000"
"05.01.2018 20:00 - 05.01.2018 21:00","n/e","0","n/e","2000"
"05.01.2018 21:00 - 05.01.2018 22:00","n/e","0","n/e","2000"
"05.01.2018 22:00 - 05.01.2018 23:00","n/e","0","n/e","2000"
"05.01.2018 23:00 - 06.01.2018 00:00","n/e","0","n/e","2000"
"06.01.2018 00:00 - 06.01.2018 01:00","n/e","0","n/e","2000"
"06.01.2018 01:00 - 06.01.2018 02:00","n/e","0","n/e","2000"
