"Time (CET/CEST)","BZN|GB > BZN|FR Day Ahead [MW]","BZN|GB > BZN|FR Total [MW]","BZN|FR > BZN|GB Day Ahead [MW]","BZN|FR > BZN|GB Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","0","2000","2000"
"01.01.2021 01:00 - 01.01.2021 02:00","0","0","2000","2000"
"01.01.2021 02:00 - 01.01.2021 03:00","0","0","2000","2000"
"01.01.2021 03:00 - 01.01.2021 04:00","0","0","2000","2000"
"01.01.2021 04:00 - 01.01.2021 05:00","0","198","1999","2000"
"01.01.2021 05:00 - 01.01.2021 06:00","0","198","1999","2000"
"01.01.2021 06:00 - 01.01.2021 07:00","0","198","2000","2000"
"01.01.2021 07:00 - 01.01.2021 08:00","0","99","2000","2000"
"01.01.2021 08:00 - 01.01.2021 09:00","0","99","2000","2000"
"01.01.2021 09:00 - 01.01.2021 10:00","0","0","1999","2000"
"01.01.2021 10:00 - 01.01.2021 11:00","0","0","2000","2000"
"01.01.2021 11:00 - 01.01.2021 12:00","0","0","2000","2000"
"01.01.2021 12:00 - 01.01.2021 13:00","0","0","2000","2000"
"01.01.2021 13:00 - 01.01.2021 14:00","0","0","2000","2000"
"01.01.2021 14:00 - 01.01.2021 15:00","0","0","2000","2000"
"01.01.2021 15:00 - 01.01.2021 16:00","0","0","2000","2000"
"01.01.2021 16:00 - 01.01.2021 17:00","0","0","1999","2000"
"01.01.2021 17:00 - 01.01.2021 18:00","0","0","2000","2000"
"01.01.2021 18:00 - 01.01.2021 19:00","0","0","2000","2000"
"01.01.2021 19:00 - 01.01.2021 20:00","0","0","2000","2000"
"01.01.2021 20:00 - 01.01.2021 21:00","0","0","1999","2000"
"01.01.2021 21:00 - 01.01.2021 22:00","0","0","2000","2000"
"01.01.2021 22:00 - 01.01.2021 23:00","0","0","1999","2000"
"01.01.2021 23:00 - 02.01.2021 00:00","0","0","2000","2000"
"02.01.2021 00:00 - 02.01.2021 01:00","0","0","2000","2000"
"02.01.2021 01:00 - 02.01.2021 02:00","0","0","2000","2000"
"02.01.2021 02:00 - 02.01.2021 03:00","0","99","2000","2000"
"02.01.2021 03:00 - 02.01.2021 04:00","0","99","2000","2000"
"02.01.2021 04:00 - 02.01.2021 05:00","0","99","1999","2000"
"02.01.2021 05:00 - 02.01.2021 06:00","0","99","2000","2000"
"02.01.2021 06:00 - 02.01.2021 07:00","0","99","2000","2000"
"02.01.2021 07:00 - 02.01.2021 08:00","0","99","2000","2000"
"02.01.2021 08:00 - 02.01.2021 09:00","0","0","2000","2000"
"02.01.2021 09:00 - 02.01.2021 10:00","0","0","2000","2000"
"02.01.2021 10:00 - 02.01.2021 11:00","0","0","2000","2000"
"02.01.2021 11:00 - 02.01.2021 12:00","0","0","2000","2000"
"02.01.2021 12:00 - 02.01.2021 13:00","0","0","2000","2000"
"02.01.2021 13:00 - 02.01.2021 14:00","0","0","2000","2000"
"02.01.2021 14:00 - 02.01.2021 15:00","0","0","2000","2000"
"02.01.2021 15:00 - 02.01.2021 16:00","0","0","2000","2000"
"02.01.2021 16:00 - 02.01.2021 17:00","0","0","2000","2000"
"02.01.2021 17:00 - 02.01.2021 18:00","0","0","2000","2000"
"02.01.2021 18:00 - 02.01.2021 19:00","0","0","2000","2000"
"02.01.2021 19:00 - 02.01.2021 20:00","0","0","2000","2000"
"02.01.2021 20:00 - 02.01.2021 21:00","0","0","2000","2000"
"02.01.2021 21:00 - 02.01.2021 22:00","0","0","2000","2000"
"02.01.2021 22:00 - 02.01.2021 23:00","0","0","2000","2000"
"02.01.2021 23:00 - 03.01.2021 00:00","0","0","1999","2000"
"03.01.2021 00:00 - 03.01.2021 01:00","0","0","2000","2000"
"03.01.2021 01:00 - 03.01.2021 02:00","0","0","2000","2000"
"03.01.2021 02:00 - 03.01.2021 03:00","0","99","2000","2000"
"03.01.2021 03:00 - 03.01.2021 04:00","0","99","2000","2000"
"03.01.2021 04:00 - 03.01.2021 05:00","0","99","2000","2000"
"03.01.2021 05:00 - 03.01.2021 06:00","0","198","2000","2000"
"03.01.2021 06:00 - 03.01.2021 07:00","0","198","2000","2000"
"03.01.2021 07:00 - 03.01.2021 08:00","0","99","2000","2000"
"03.01.2021 08:00 - 03.01.2021 09:00","473","573","2000","2025"
"03.01.2021 09:00 - 03.01.2021 10:00","0","0","2000","2000"
"03.01.2021 10:00 - 03.01.2021 11:00","0","0","2000","2000"
"03.01.2021 11:00 - 03.01.2021 12:00","0","0","2000","2000"
"03.01.2021 12:00 - 03.01.2021 13:00","0","0","2000","2000"
"03.01.2021 13:00 - 03.01.2021 14:00","0","0","2000","2000"
"03.01.2021 14:00 - 03.01.2021 15:00","0","0","2000","2000"
"03.01.2021 15:00 - 03.01.2021 16:00","0","0","2000","2000"
"03.01.2021 16:00 - 03.01.2021 17:00","0","0","2000","2000"
"03.01.2021 17:00 - 03.01.2021 18:00","0","0","2000","2000"
"03.01.2021 18:00 - 03.01.2021 19:00","0","0","2000","2000"
"03.01.2021 19:00 - 03.01.2021 20:00","0","0","2000","2000"
"03.01.2021 20:00 - 03.01.2021 21:00","0","0","2000","2000"
"03.01.2021 21:00 - 03.01.2021 22:00","0","0","1991","1991"
"03.01.2021 22:00 - 03.01.2021 23:00","0","0","2000","2000"
"03.01.2021 23:00 - 04.01.2021 00:00","0","448","1948","1948"
"04.01.2021 00:00 - 04.01.2021 01:00","0","395","2000","2000"
"04.01.2021 01:00 - 04.01.2021 02:00","0","395","2000","2000"
"04.01.2021 02:00 - 04.01.2021 03:00","0","395","2000","2000"
"04.01.2021 03:00 - 04.01.2021 04:00","0","395","2000","2000"
"04.01.2021 04:00 - 04.01.2021 05:00","119","366","1965","1965"
"04.01.2021 05:00 - 04.01.2021 06:00","424","424","1899","1924"
"04.01.2021 06:00 - 04.01.2021 07:00","593","623","1908","1983"
"04.01.2021 07:00 - 04.01.2021 08:00","702","753","1880","2077"
"04.01.2021 08:00 - 04.01.2021 09:00","1751","1751","1308","1765"
"04.01.2021 09:00 - 04.01.2021 10:00","1675","1675","1328","1685"
"04.01.2021 10:00 - 04.01.2021 11:00","1424","1424","1635","1992"
"04.01.2021 11:00 - 04.01.2021 12:00","1174","1466","1675","1675"
"04.01.2021 12:00 - 04.01.2021 13:00","1037","1187","1743","1743"
"04.01.2021 13:00 - 04.01.2021 14:00","738","838","1822","1822"
"04.01.2021 14:00 - 04.01.2021 15:00","692","761","1884","2005"
"04.01.2021 15:00 - 04.01.2021 16:00","817","954","1749","1925"
"04.01.2021 16:00 - 04.01.2021 17:00","1074","1219","1900","1925"
"04.01.2021 17:00 - 04.01.2021 18:00","0","0","1923","1943"
"04.01.2021 18:00 - 04.01.2021 19:00","0","0","2000","2000"
"04.01.2021 19:00 - 04.01.2021 20:00","0","0","1908","1958"
"04.01.2021 20:00 - 04.01.2021 21:00","0","0","2000","2000"
"04.01.2021 21:00 - 04.01.2021 22:00","0","0","2000","2000"
"04.01.2021 22:00 - 04.01.2021 23:00","0","0","2000","2000"
"04.01.2021 23:00 - 05.01.2021 00:00","432","432","1950","2000"
"05.01.2021 00:00 - 05.01.2021 01:00","0","198","2000","2000"
"05.01.2021 01:00 - 05.01.2021 02:00","0","198","2000","2000"
"05.01.2021 02:00 - 05.01.2021 03:00","0","198","2000","2000"
"05.01.2021 03:00 - 05.01.2021 04:00","0","198","2000","2000"
"05.01.2021 04:00 - 05.01.2021 05:00","0","198","2000","2000"
"05.01.2021 05:00 - 05.01.2021 06:00","0","149","1950","1965"
"05.01.2021 06:00 - 05.01.2021 07:00","736","736","1921","1921"
"05.01.2021 07:00 - 05.01.2021 08:00","258","512","1793","2249"
"05.01.2021 08:00 - 05.01.2021 09:00","745","1020","1568","2505"
"05.01.2021 09:00 - 05.01.2021 10:00","474","774","1590","1590"
"05.01.2021 10:00 - 05.01.2021 11:00","309","409","1688","1688"
"05.01.2021 11:00 - 05.01.2021 12:00","256","561","1493","1533"
"05.01.2021 12:00 - 05.01.2021 13:00","110","340","1577","1577"
"05.01.2021 13:00 - 05.01.2021 14:00","0","230","1944","1944"
"05.01.2021 14:00 - 05.01.2021 15:00","0","0","1923","2000"
"05.01.2021 15:00 - 05.01.2021 16:00","90","90","1702","1952"
"05.01.2021 16:00 - 05.01.2021 17:00","444","444","1797","2027"
"05.01.2021 17:00 - 05.01.2021 18:00","0","0","2000","2000"
"05.01.2021 18:00 - 05.01.2021 19:00","0","0","2000","2000"
"05.01.2021 19:00 - 05.01.2021 20:00","0","0","2000","2000"
"05.01.2021 20:00 - 05.01.2021 21:00","0","0","2000","2000"
"05.01.2021 21:00 - 05.01.2021 22:00","0","0","1999","2000"
"05.01.2021 22:00 - 05.01.2021 23:00","0","201","1806","1806"
"05.01.2021 23:00 - 06.01.2021 00:00","471","671","1767","1846"
"06.01.2021 00:00 - 06.01.2021 01:00","780","780","1823","1823"
"06.01.2021 01:00 - 06.01.2021 02:00","329","329","1808","1808"
"06.01.2021 02:00 - 06.01.2021 03:00","0","0","1940","1940"
"06.01.2021 03:00 - 06.01.2021 04:00","15","15","1923","1923"
"06.01.2021 04:00 - 06.01.2021 05:00","159","159","1823","1823"
"06.01.2021 05:00 - 06.01.2021 06:00","385","385","1798","1798"
"06.01.2021 06:00 - 06.01.2021 07:00","1154","1283","1878","1878"
"06.01.2021 07:00 - 06.01.2021 08:00","1088","1486","1894","1894"
"06.01.2021 08:00 - 06.01.2021 09:00","816","1064","1648","2760"
"06.01.2021 09:00 - 06.01.2021 10:00","50","383","1950","1950"
"06.01.2021 10:00 - 06.01.2021 11:00","0","0","2000","2000"
"06.01.2021 11:00 - 06.01.2021 12:00","0","0","1999","1999"
"06.01.2021 12:00 - 06.01.2021 13:00","0","0","2000","2000"
"06.01.2021 13:00 - 06.01.2021 14:00","0","0","1999","1999"
"06.01.2021 14:00 - 06.01.2021 15:00","0","0","2000","2000"
"06.01.2021 15:00 - 06.01.2021 16:00","0","0","2000","2000"
"06.01.2021 16:00 - 06.01.2021 17:00","0","0","2000","2000"
"06.01.2021 17:00 - 06.01.2021 18:00","0","0","2000","2000"
"06.01.2021 18:00 - 06.01.2021 19:00","0","0","2000","2000"
"06.01.2021 19:00 - 06.01.2021 20:00","0","0","2000","2000"
"06.01.2021 20:00 - 06.01.2021 21:00","0","0","2000","2000"
"06.01.2021 21:00 - 06.01.2021 22:00","0","0","2000","2000"
"06.01.2021 22:00 - 06.01.2021 23:00","67","67","1965","1965"
"06.01.2021 23:00 - 07.01.2021 00:00","304","454","1828","1838"
"07.01.2021 00:00 - 07.01.2021 01:00","359","636","1905","1905"
"07.01.2021 01:00 - 07.01.2021 02:00","226","301","1905","1905"
