2019-2022;2020;2021;Mean
0,5;1,3;0,2;0,666666667
0;0,7;0,1;0,266666667
0;0;0;0
0;0;0,6;0,2
0;0;0,5;0,166666667
0;0,5;0,1;0,2
0;0,5;0,1;0,2
0;0,3;0;0,1
0;0;0,4;0,133333333
0;0,1;0,2;0,1
0;0;0,4;0,133333333
0;0,1;0,6;0,233333333
0,8;0;0,5;0,433333333
0;1,2;1,1;0,766666667
0;0;0,8;0,266666667
0,6;0;1;0,533333333
0;0;1,3;0,433333333
0,2;0;1,3;0,5
0,1;0,3;1;0,466666667
0;1;0,5;0,5
0;0,5;0,4;0,3
0;0;0,7;0,233333333
0,4;0;1,4;0,6
0;0;1,3;0,433333333
0;0;0,7;0,233333333
0,3;0;0,2;0,166666667
1,4;0;0,1;0,5
1,7;0;0;0,566666667
1,3;0;0;0,433333333
0,2;0;0;0,066666667
1,3;0;1,1;0,8
0;0;3,5;1,166666667
0;0;1,1;0,366666667
0,5;0;0,2;0,233333333
1,5;0,2;1;0,9
1,3;0;0,5;0,6
0,3;0;0,1;0,133333333
0;0;0,3;0,1
0;0;1;0,333333333
0;0,3;1,5;0,6
0;0,8;1,1;0,633333333
0;0;2,1;0,7
0;1,4;1,9;1,1
0;0,7;1,7;0,8
0,2;1,8;0,6;0,866666667
0;1,5;0,9;0,8
0,2;1,6;1,4;1,066666667
1,4;1,8;2;1,733333333
1,4;1,3;0,9;1,2
1,3;0,9;0,4;0,866666667
2,7;0;0,3;1
3,3;0,3;0;1,2
3,4;2,4;0;1,933333333
4,4;1,6;0,2;2,066666667
3,7;1,2;0,1;1,666666667
2,7;0,3;0;1
1,9;0;0,1;0,666666667
0,3;0,4;1,1;0,6
0,2;0,2;0,8;0,4
0,6;0,7;0,7;0,666666667
0,7;0;0;0,233333333
0,5;0;0,8;0,433333333
0,9;0;1,8;0,9
3,7;0,1;1,7;1,833333333
3,7;1,2;1,9;2,266666667
3,5;0,4;1,8;1,9
2,3;0;3;1,766666667
0,5;0,2;3,7;1,466666667
1,3;0,3;2,6;1,4
3,2;0,6;2,2;2
2;1,7;2;1,9
1,1;6,6;0,5;2,733333333
1,5;7,1;1,9;3,5
2,3;6,6;3,8;4,233333333
1,9;6,8;5,6;4,766666667
2,5;3,6;7,1;4,4
1,7;1,8;5,1;2,866666667
4,4;4,2;2,5;3,7
7,5;4,6;1,1;4,4
5,7;5,4;4,3;5,133333333
5,1;6,3;5,5;5,633333333
6,3;5,9;6;6,066666667
5,6;4,9;4,8;5,1
4,2;4,7;4,8;4,566666667
5,5;3,7;5,3;4,833333333
5,5;3,4;6,3;5,066666667
4;6,7;6,1;5,6
2,2;7,3;6,9;5,466666667
0,3;7,7;8;5,333333333
0,5;8;6,3;4,933333333
2,5;8,2;6,7;5,8
3,7;8,6;8,2;6,833333333
2,6;7,2;6,9;5,566666667
3,7;8,2;7,9;6,6
4,4;8,7;3,5;5,533333333
3,2;7,5;2,2;4,3
3,7;5,4;5,9;5
5,4;1,9;10;5,766666667
3,9;0,9;8,2;4,333333333
2,6;2,3;9,4;4,766666667
2,4;3,9;8,2;4,833333333
3;5,4;5,5;4,633333333
