"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","1627","1627","0","0"
"01.01.2021 01:00 - 01.01.2021 02:00","1969","1969","0","0"
"01.01.2021 02:00 - 01.01.2021 03:00","3134","3134","0","0"
"01.01.2021 03:00 - 01.01.2021 04:00","3561","3561","0","0"
"01.01.2021 04:00 - 01.01.2021 05:00","3746","3746","0","0"
"01.01.2021 05:00 - 01.01.2021 06:00","3746","3746","0","0"
"01.01.2021 06:00 - 01.01.2021 07:00","3746","3746","0","0"
"01.01.2021 07:00 - 01.01.2021 08:00","3607","3607","0","0"
"01.01.2021 08:00 - 01.01.2021 09:00","3607","3607","0","0"
"01.01.2021 09:00 - 01.01.2021 10:00","3607","3607","0","0"
"01.01.2021 10:00 - 01.01.2021 11:00","3607","3607","0","0"
"01.01.2021 11:00 - 01.01.2021 12:00","3098","3098","0","0"
"01.01.2021 12:00 - 01.01.2021 13:00","3098","3098","0","0"
"01.01.2021 13:00 - 01.01.2021 14:00","3098","3098","0","0"
"01.01.2021 14:00 - 01.01.2021 15:00","3098","3098","0","0"
"01.01.2021 15:00 - 01.01.2021 16:00","3237","3237","0","0"
"01.01.2021 16:00 - 01.01.2021 17:00","3237","3237","0","0"
"01.01.2021 17:00 - 01.01.2021 18:00","2867","2867","0","0"
"01.01.2021 18:00 - 01.01.2021 19:00","2867","2867","0","0"
"01.01.2021 19:00 - 01.01.2021 20:00","2867","2867","0","0"
"01.01.2021 20:00 - 01.01.2021 21:00","2615","2615","0","0"
"01.01.2021 21:00 - 01.01.2021 22:00","0","0","548","548"
"01.01.2021 22:00 - 01.01.2021 23:00","41","41","0","0"
"01.01.2021 23:00 - 02.01.2021 00:00","0","0","606","606"
"02.01.2021 00:00 - 02.01.2021 01:00","525","525","0","0"
"02.01.2021 01:00 - 02.01.2021 02:00","1764","1764","0","0"
"02.01.2021 02:00 - 02.01.2021 03:00","3098","3098","0","0"
"02.01.2021 03:00 - 02.01.2021 04:00","3098","3098","0","0"
"02.01.2021 04:00 - 02.01.2021 05:00","3343","3343","0","0"
"02.01.2021 05:00 - 02.01.2021 06:00","3561","3561","0","0"
"02.01.2021 06:00 - 02.01.2021 07:00","3561","3561","0","0"
"02.01.2021 07:00 - 02.01.2021 08:00","3330","3330","0","0"
"02.01.2021 08:00 - 02.01.2021 09:00","2324","2324","0","0"
"02.01.2021 09:00 - 02.01.2021 10:00","3330","3330","0","0"
"02.01.2021 10:00 - 02.01.2021 11:00","2981","2981","0","0"
"02.01.2021 11:00 - 02.01.2021 12:00","3145","3145","0","0"
"02.01.2021 12:00 - 02.01.2021 13:00","3145","3145","0","0"
"02.01.2021 13:00 - 02.01.2021 14:00","3145","3145","0","0"
"02.01.2021 14:00 - 02.01.2021 15:00","2913","2913","0","0"
"02.01.2021 15:00 - 02.01.2021 16:00","2913","2913","0","0"
"02.01.2021 16:00 - 02.01.2021 17:00","2913","2913","0","0"
"02.01.2021 17:00 - 02.01.2021 18:00","2682","2682","0","0"
"02.01.2021 18:00 - 02.01.2021 19:00","2682","2682","0","0"
"02.01.2021 19:00 - 02.01.2021 20:00","2682","2682","0","0"
"02.01.2021 20:00 - 02.01.2021 21:00","577","577","0","0"
"02.01.2021 21:00 - 02.01.2021 22:00","0","0","2191","2191"
"02.01.2021 22:00 - 02.01.2021 23:00","0","0","1855","1855"
"02.01.2021 23:00 - 03.01.2021 00:00","0","0","1797","1797"
"03.01.2021 00:00 - 03.01.2021 01:00","1108","1127","0","0"
"03.01.2021 01:00 - 03.01.2021 02:00","1526","1769","0","0"
"03.01.2021 02:00 - 03.01.2021 03:00","1634","1648","0","206"
"03.01.2021 03:00 - 03.01.2021 04:00","495","661","0","0"
"03.01.2021 04:00 - 03.01.2021 05:00","209","538","0","0"
"03.01.2021 05:00 - 03.01.2021 06:00","149","302","0","0"
"03.01.2021 06:00 - 03.01.2021 07:00","0","57","285","305"
"03.01.2021 07:00 - 03.01.2021 08:00","0","164","748","748"
"03.01.2021 08:00 - 03.01.2021 09:00","0","240","264","264"
"03.01.2021 09:00 - 03.01.2021 10:00","931","1531","0","0"
"03.01.2021 10:00 - 03.01.2021 11:00","1865","1871","0","22"
"03.01.2021 11:00 - 03.01.2021 12:00","2519","2522","0","106"
"03.01.2021 12:00 - 03.01.2021 13:00","2821","2821","0","73"
"03.01.2021 13:00 - 03.01.2021 14:00","2302","2304","0","119"
"03.01.2021 14:00 - 03.01.2021 15:00","1481","1489","0","121"
"03.01.2021 15:00 - 03.01.2021 16:00","1889","1890","0","25"
"03.01.2021 16:00 - 03.01.2021 17:00","2153","2158","0","636"
"03.01.2021 17:00 - 03.01.2021 18:00","2394","2394","0","306"
"03.01.2021 18:00 - 03.01.2021 19:00","548","548","0","522"
"03.01.2021 19:00 - 03.01.2021 20:00","0","12","1188","1616"
"03.01.2021 20:00 - 03.01.2021 21:00","0","13","2977","3351"
"03.01.2021 21:00 - 03.01.2021 22:00","0","27","3439","3634"
"03.01.2021 22:00 - 03.01.2021 23:00","0","56","3290","3290"
"03.01.2021 23:00 - 04.01.2021 00:00","0","14","1974","2043"
"04.01.2021 00:00 - 04.01.2021 01:00","0","33","2540","2540"
"04.01.2021 01:00 - 04.01.2021 02:00","0","321","1598","1598"
"04.01.2021 02:00 - 04.01.2021 03:00","0","5","1000","1011"
"04.01.2021 03:00 - 04.01.2021 04:00","0","0","1127","1135"
"04.01.2021 04:00 - 04.01.2021 05:00","0","291","1116","1116"
"04.01.2021 05:00 - 04.01.2021 06:00","0","823","1001","1001"
"04.01.2021 06:00 - 04.01.2021 07:00","894","894","0","161"
"04.01.2021 07:00 - 04.01.2021 08:00","1032","1365","0","0"
"04.01.2021 08:00 - 04.01.2021 09:00","1242","1250","0","213"
"04.01.2021 09:00 - 04.01.2021 10:00","1088","1088","0","498"
"04.01.2021 10:00 - 04.01.2021 11:00","781","781","0","339"
"04.01.2021 11:00 - 04.01.2021 12:00","626","1007","0","0"
"04.01.2021 12:00 - 04.01.2021 13:00","1513","1523","0","62"
"04.01.2021 13:00 - 04.01.2021 14:00","1468","1804","0","0"
"04.01.2021 14:00 - 04.01.2021 15:00","262","1395","0","0"
"04.01.2021 15:00 - 04.01.2021 16:00","1047","2060","0","0"
"04.01.2021 16:00 - 04.01.2021 17:00","827","942","0","0"
"04.01.2021 17:00 - 04.01.2021 18:00","970","1029","0","157"
"04.01.2021 18:00 - 04.01.2021 19:00","0","0","71","610"
"04.01.2021 19:00 - 04.01.2021 20:00","0","0","585","1480"
"04.01.2021 20:00 - 04.01.2021 21:00","0","0","2787","3145"
"04.01.2021 21:00 - 04.01.2021 22:00","0","0","3145","3145"
"04.01.2021 22:00 - 04.01.2021 23:00","0","0","3145","3145"
"04.01.2021 23:00 - 05.01.2021 00:00","0","19","3145","3145"
"05.01.2021 00:00 - 05.01.2021 01:00","0","0","2728","2728"
"05.01.2021 01:00 - 05.01.2021 02:00","0","0","2728","2728"
"05.01.2021 02:00 - 05.01.2021 03:00","0","0","2728","2728"
"05.01.2021 03:00 - 05.01.2021 04:00","0","0","2728","2728"
"05.01.2021 04:00 - 05.01.2021 05:00","0","0","3006","3006"
"05.01.2021 05:00 - 05.01.2021 06:00","0","30","3006","3006"
"05.01.2021 06:00 - 05.01.2021 07:00","0","97","2867","2867"
"05.01.2021 07:00 - 05.01.2021 08:00","0","144","2019","2019"
"05.01.2021 08:00 - 05.01.2021 09:00","0","47","1903","1985"
"05.01.2021 09:00 - 05.01.2021 10:00","0","0","406","2622"
"05.01.2021 10:00 - 05.01.2021 11:00","0","0","1458","2867"
"05.01.2021 11:00 - 05.01.2021 12:00","0","0","2112","2867"
"05.01.2021 12:00 - 05.01.2021 13:00","0","0","2201","2871"
"05.01.2021 13:00 - 05.01.2021 14:00","0","2","1283","2445"
"05.01.2021 14:00 - 05.01.2021 15:00","0","416","2915","2915"
"05.01.2021 15:00 - 05.01.2021 16:00","0","461","3330","3330"
"05.01.2021 16:00 - 05.01.2021 17:00","0","165","3330","3330"
"05.01.2021 17:00 - 05.01.2021 18:00","0","0","3141","3191"
"05.01.2021 18:00 - 05.01.2021 19:00","0","5","1160","1959"
"05.01.2021 19:00 - 05.01.2021 20:00","0","0","1926","2804"
"05.01.2021 20:00 - 05.01.2021 21:00","0","0","3191","3191"
"05.01.2021 21:00 - 05.01.2021 22:00","0","0","3191","3191"
"05.01.2021 22:00 - 05.01.2021 23:00","0","0","3191","3191"
"05.01.2021 23:00 - 06.01.2021 00:00","0","0","3191","3191"
"06.01.2021 00:00 - 06.01.2021 01:00","0","0","2600","2600"
"06.01.2021 01:00 - 06.01.2021 02:00","0","0","2600","2600"
"06.01.2021 02:00 - 06.01.2021 03:00","0","0","2600","2600"
"06.01.2021 03:00 - 06.01.2021 04:00","0","0","2600","2600"
"06.01.2021 04:00 - 06.01.2021 05:00","0","0","2600","2600"
"06.01.2021 05:00 - 06.01.2021 06:00","0","0","2600","2600"
"06.01.2021 06:00 - 06.01.2021 07:00","0","2","2600","2602"
"06.01.2021 07:00 - 06.01.2021 08:00","810","810","0","663"
"06.01.2021 08:00 - 06.01.2021 09:00","2300","2300","0","432"
"06.01.2021 09:00 - 06.01.2021 10:00","2300","2300","0","221"
"06.01.2021 10:00 - 06.01.2021 11:00","2300","2300","0","303"
"06.01.2021 11:00 - 06.01.2021 12:00","2300","2300","0","854"
"06.01.2021 12:00 - 06.01.2021 13:00","2300","2300","0","1190"
"06.01.2021 13:00 - 06.01.2021 14:00","433","433","0","906"
"06.01.2021 14:00 - 06.01.2021 15:00","0","0","283","1181"
"06.01.2021 15:00 - 06.01.2021 16:00","0","0","392","1017"
"06.01.2021 16:00 - 06.01.2021 17:00","210","210","0","862"
"06.01.2021 17:00 - 06.01.2021 18:00","2300","2316","0","1105"
"06.01.2021 18:00 - 06.01.2021 19:00","2300","2300","0","1297"
"06.01.2021 19:00 - 06.01.2021 20:00","2300","2300","0","2220"
"06.01.2021 20:00 - 06.01.2021 21:00","0","0","603","2600"
"06.01.2021 21:00 - 06.01.2021 22:00","0","0","2600","2600"
"06.01.2021 22:00 - 06.01.2021 23:00","0","0","2600","2600"
"06.01.2021 23:00 - 07.01.2021 00:00","0","0","2600","2600"
"07.01.2021 00:00 - 07.01.2021 01:00","0","0","2106","2590"
"07.01.2021 01:00 - 07.01.2021 02:00","0","0","1671","2531"
"07.01.2021 02:00 - 07.01.2021 03:00","0","0","1655","2590"
"07.01.2021 03:00 - 07.01.2021 04:00","0","0","2590","2590"
"07.01.2021 04:00 - 07.01.2021 05:00","0","0","2636","2636"
"07.01.2021 05:00 - 07.01.2021 06:00","0","0","2636","2636"
"07.01.2021 06:00 - 07.01.2021 07:00","0","0","1986","2636"
"07.01.2021 07:00 - 07.01.2021 08:00","0","0","1208","2449"
"07.01.2021 08:00 - 07.01.2021 09:00","0","0","1150","2913"
"07.01.2021 09:00 - 07.01.2021 10:00","0","0","2271","2913"
"07.01.2021 10:00 - 07.01.2021 11:00","0","0","2913","2913"
"07.01.2021 11:00 - 07.01.2021 12:00","0","0","2913","2913"
"07.01.2021 12:00 - 07.01.2021 13:00","0","0","2777","3515"
"07.01.2021 13:00 - 07.01.2021 14:00","0","0","3515","3515"
"07.01.2021 14:00 - 07.01.2021 15:00","0","0","3376","3376"
"07.01.2021 15:00 - 07.01.2021 16:00","0","0","3376","3376"
"07.01.2021 16:00 - 07.01.2021 17:00","0","0","3376","3376"
"07.01.2021 17:00 - 07.01.2021 18:00","0","0","2673","3052"
"07.01.2021 18:00 - 07.01.2021 19:00","0","0","758","3052"
"07.01.2021 19:00 - 07.01.2021 20:00","0","0","1059","3052"
"07.01.2021 20:00 - 07.01.2021 21:00","0","0","3052","3052"
