"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","n/e","550","n/e","875"
"01.01.2018 01:00 - 01.01.2018 02:00","n/e","150","n/e","828"
"01.01.2018 02:00 - 01.01.2018 03:00","n/e","75","n/e","443"
"01.01.2018 03:00 - 01.01.2018 04:00","n/e","13","n/e","2800"
"01.01.2018 04:00 - 01.01.2018 05:00","n/e","0","n/e","2800"
"01.01.2018 05:00 - 01.01.2018 06:00","n/e","0","n/e","2800"
"01.01.2018 06:00 - 01.01.2018 07:00","n/e","0","n/e","2800"
"01.01.2018 07:00 - 01.01.2018 08:00","n/e","0","n/e","2800"
"01.01.2018 08:00 - 01.01.2018 09:00","n/e","0","n/e","2800"
"01.01.2018 09:00 - 01.01.2018 10:00","n/e","52","n/e","2800"
"01.01.2018 10:00 - 01.01.2018 11:00","n/e","0","n/e","2800"
"01.01.2018 11:00 - 01.01.2018 12:00","n/e","200","n/e","2800"
"01.01.2018 12:00 - 01.01.2018 13:00","n/e","0","n/e","1173"
"01.01.2018 13:00 - 01.01.2018 14:00","n/e","0","n/e","577"
"01.01.2018 14:00 - 01.01.2018 15:00","n/e","1463","n/e","120"
"01.01.2018 15:00 - 01.01.2018 16:00","n/e","2800","n/e","0"
"01.01.2018 16:00 - 01.01.2018 17:00","n/e","2800","n/e","0"
"01.01.2018 17:00 - 01.01.2018 18:00","n/e","2800","n/e","0"
"01.01.2018 18:00 - 01.01.2018 19:00","n/e","1494","n/e","25"
"01.01.2018 19:00 - 01.01.2018 20:00","n/e","1096","n/e","170"
"01.01.2018 20:00 - 01.01.2018 21:00","n/e","225","n/e","756"
"01.01.2018 21:00 - 01.01.2018 22:00","n/e","583","n/e","1232"
"01.01.2018 22:00 - 01.01.2018 23:00","n/e","390","n/e","387"
"01.01.2018 23:00 - 02.01.2018 00:00","n/e","697","n/e","65"
"02.01.2018 00:00 - 02.01.2018 01:00","n/e","985","n/e","533"
"02.01.2018 01:00 - 02.01.2018 02:00","n/e","1663","n/e","200"
