"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"04.01.2017 07:00 - 04.01.2017 08:00","n/e","2581","n/e","200"
"04.01.2017 08:00 - 04.01.2017 09:00","n/e","3024","n/e","100"
"04.01.2017 09:00 - 04.01.2017 10:00","n/e","2257","n/e","300"
"04.01.2017 10:00 - 04.01.2017 11:00","n/e","725","n/e","400"
"04.01.2017 11:00 - 04.01.2017 12:00","n/e","1384","n/e","666"
"04.01.2017 12:00 - 04.01.2017 13:00","n/e","1705","n/e","2006"
"04.01.2017 13:00 - 04.01.2017 14:00","n/e","720","n/e","1900"
"04.01.2017 14:00 - 04.01.2017 15:00","n/e","792","n/e","2503"
"04.01.2017 15:00 - 04.01.2017 16:00","n/e","658","n/e","2579"
"04.01.2017 16:00 - 04.01.2017 17:00","n/e","900","n/e","1344"
"04.01.2017 17:00 - 04.01.2017 18:00","n/e","4322","n/e","810"
"04.01.2017 18:00 - 04.01.2017 19:00","n/e","4540","n/e","140"
"04.01.2017 19:00 - 04.01.2017 20:00","n/e","4540","n/e","710"
"04.01.2017 20:00 - 04.01.2017 21:00","n/e","1105","n/e","1442"
"04.01.2017 21:00 - 04.01.2017 22:00","n/e","0","n/e","5200"
"04.01.2017 22:00 - 04.01.2017 23:00","n/e","182","n/e","5179"
"04.01.2017 23:00 - 05.01.2017 00:00","n/e","362","n/e","2900"
"05.01.2017 00:00 - 05.01.2017 01:00","n/e","150","n/e","2384"
"05.01.2017 01:00 - 05.01.2017 02:00","n/e","150","n/e","844"
"05.01.2017 02:00 - 05.01.2017 03:00","n/e","1181","n/e","235"
"05.01.2017 03:00 - 05.01.2017 04:00","n/e","430","n/e","187"
"05.01.2017 04:00 - 05.01.2017 05:00","n/e","374","n/e","2816"
"05.01.2017 05:00 - 05.01.2017 06:00","n/e","7","n/e","1169"
"05.01.2017 06:00 - 05.01.2017 07:00","n/e","1000","n/e","147"
"05.01.2017 07:00 - 05.01.2017 08:00","n/e","281","n/e","48"
"05.01.2017 08:00 - 05.01.2017 09:00","n/e","1089","n/e","370"
"05.01.2017 09:00 - 05.01.2017 10:00","n/e","2058","n/e","515"
"05.01.2017 10:00 - 05.01.2017 11:00","n/e","1936","n/e","315"
"05.01.2017 11:00 - 05.01.2017 12:00","n/e","2089","n/e","266"
"05.01.2017 12:00 - 05.01.2017 13:00","n/e","1999","n/e","365"
"05.01.2017 13:00 - 05.01.2017 14:00","n/e","1071","n/e","300"
"05.01.2017 14:00 - 05.01.2017 15:00","n/e","721","n/e","272"
"05.01.2017 15:00 - 05.01.2017 16:00","n/e","683","n/e","934"
"05.01.2017 16:00 - 05.01.2017 17:00","n/e","628","n/e","563"
"05.01.2017 17:00 - 05.01.2017 18:00","n/e","2240","n/e","300"
"05.01.2017 18:00 - 05.01.2017 19:00","n/e","2200","n/e","0"
"05.01.2017 19:00 - 05.01.2017 20:00","n/e","2200","n/e","0"
"05.01.2017 20:00 - 05.01.2017 21:00","n/e","775","n/e","866"
"05.01.2017 21:00 - 05.01.2017 22:00","n/e","99","n/e","1951"
"05.01.2017 22:00 - 05.01.2017 23:00","n/e","541","n/e","2539"
"05.01.2017 23:00 - 06.01.2017 00:00","n/e","1257","n/e","591"
"06.01.2017 00:00 - 06.01.2017 01:00","n/e","275","n/e","1147"
"06.01.2017 01:00 - 06.01.2017 02:00","n/e","0","n/e","598"
"06.01.2017 02:00 - 06.01.2017 03:00","n/e","0","n/e","225"
"06.01.2017 03:00 - 06.01.2017 04:00","n/e","0","n/e","1205"
"06.01.2017 04:00 - 06.01.2017 05:00","n/e","50","n/e","1527"
"06.01.2017 05:00 - 06.01.2017 06:00","n/e","0","n/e","956"
"06.01.2017 06:00 - 06.01.2017 07:00","n/e","1257","n/e","0"
"06.01.2017 07:00 - 06.01.2017 08:00","n/e","2200","n/e","0"
"06.01.2017 08:00 - 06.01.2017 09:00","n/e","2200","n/e","0"
"06.01.2017 09:00 - 06.01.2017 10:00","n/e","2200","n/e","0"
"06.01.2017 10:00 - 06.01.2017 11:00","n/e","2200","n/e","204"
