"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","0","0","24","226"
"01.01.2020 01:00 - 01.01.2020 02:00","0","627","269","269"
"01.01.2020 02:00 - 01.01.2020 03:00","16","301","0","0"
"01.01.2020 03:00 - 01.01.2020 04:00","939","939","0","325"
"01.01.2020 04:00 - 01.01.2020 05:00","1270","1270","0","162"
"01.01.2020 05:00 - 01.01.2020 06:00","1111","1121","0","0"
"01.01.2020 06:00 - 01.01.2020 07:00","1065","1065","0","93"
"01.01.2020 07:00 - 01.01.2020 08:00","1001","1001","0","277"
"01.01.2020 08:00 - 01.01.2020 09:00","1141","1141","0","506"
"01.01.2020 09:00 - 01.01.2020 10:00","1062","1062","0","931"
"01.01.2020 10:00 - 01.01.2020 11:00","856","856","0","268"
"01.01.2020 11:00 - 01.01.2020 12:00","549","549","0","359"
"01.01.2020 12:00 - 01.01.2020 13:00","964","964","0","255"
"01.01.2020 13:00 - 01.01.2020 14:00","0","0","243","418"
"01.01.2020 14:00 - 01.01.2020 15:00","0","0","46","387"
"01.01.2020 15:00 - 01.01.2020 16:00","1522","1606","0","55"
"01.01.2020 16:00 - 01.01.2020 17:00","1451","2266","0","1"
"01.01.2020 17:00 - 01.01.2020 18:00","1324","2380","0","0"
"01.01.2020 18:00 - 01.01.2020 19:00","0","1010","850","850"
"01.01.2020 19:00 - 01.01.2020 20:00","0","938","1670","1670"
"01.01.2020 20:00 - 01.01.2020 21:00","0","812","3307","3549"
"01.01.2020 21:00 - 01.01.2020 22:00","0","364","3000","3000"
"01.01.2020 22:00 - 01.01.2020 23:00","0","485","3000","3000"
"01.01.2020 23:00 - 02.01.2020 00:00","0","760","3000","3000"
"02.01.2020 00:00 - 02.01.2020 01:00","0","243","1760","1760"
"02.01.2020 01:00 - 02.01.2020 02:00","336","336","0","390"
"02.01.2020 02:00 - 02.01.2020 03:00","135","135","0","306"
"02.01.2020 03:00 - 02.01.2020 04:00","0","0","208","815"
"02.01.2020 04:00 - 02.01.2020 05:00","0","0","279","839"
"02.01.2020 05:00 - 02.01.2020 06:00","0","0","344","506"
"02.01.2020 06:00 - 02.01.2020 07:00","304","1079","0","0"
"02.01.2020 07:00 - 02.01.2020 08:00","190","734","0","0"
"02.01.2020 08:00 - 02.01.2020 09:00","224","228","0","45"
"02.01.2020 09:00 - 02.01.2020 10:00","0","160","51","57"
"02.01.2020 10:00 - 02.01.2020 11:00","508","508","0","542"
"02.01.2020 11:00 - 02.01.2020 12:00","1442","1442","0","620"
"02.01.2020 12:00 - 02.01.2020 13:00","2384","2384","0","778"
"02.01.2020 13:00 - 02.01.2020 14:00","2087","2087","0","317"
"02.01.2020 14:00 - 02.01.2020 15:00","1944","2212","0","113"
"02.01.2020 15:00 - 02.01.2020 16:00","2283","2283","0","269"
"02.01.2020 16:00 - 02.01.2020 17:00","2230","2230","0","482"
"02.01.2020 17:00 - 02.01.2020 18:00","2471","2623","0","29"
"02.01.2020 18:00 - 02.01.2020 19:00","159","159","0","387"
"02.01.2020 19:00 - 02.01.2020 20:00","0","0","1148","1880"
"02.01.2020 20:00 - 02.01.2020 21:00","0","0","3223","3400"
"02.01.2020 21:00 - 02.01.2020 22:00","0","0","3400","3400"
"02.01.2020 22:00 - 02.01.2020 23:00","0","0","3400","3400"
"02.01.2020 23:00 - 03.01.2020 00:00","0","0","2606","3000"
"03.01.2020 00:00 - 03.01.2020 01:00","0","0","1298","1665"
"03.01.2020 01:00 - 03.01.2020 02:00","0","0","2941","3000"
"03.01.2020 02:00 - 03.01.2020 03:00","0","0","3000","3000"
"03.01.2020 03:00 - 03.01.2020 04:00","0","0","3000","3000"
"03.01.2020 04:00 - 03.01.2020 05:00","0","0","3000","3000"
"03.01.2020 05:00 - 03.01.2020 06:00","0","0","3000","3000"
"03.01.2020 06:00 - 03.01.2020 07:00","0","0","2914","3000"
"03.01.2020 07:00 - 03.01.2020 08:00","0","0","2958","3400"
"03.01.2020 08:00 - 03.01.2020 09:00","0","0","3400","3400"
"03.01.2020 09:00 - 03.01.2020 10:00","0","0","3400","3400"
"03.01.2020 10:00 - 03.01.2020 11:00","0","0","3400","3400"
"03.01.2020 11:00 - 03.01.2020 12:00","0","0","3400","3400"
"03.01.2020 12:00 - 03.01.2020 13:00","0","0","3400","3400"
"03.01.2020 13:00 - 03.01.2020 14:00","0","0","3400","3400"
"03.01.2020 14:00 - 03.01.2020 15:00","0","2","3400","3402"
"03.01.2020 15:00 - 03.01.2020 16:00","0","15","3400","3415"
"03.01.2020 16:00 - 03.01.2020 17:00","0","1","3400","3401"
