2019-2022;2020;2021;Mean
0,8;2,4;0,4;1,2
0,8;2,2;0,8;1,266666667
1,1;2,1;0,5;1,233333333
1,2;0,5;0,5;0,733333333
1,4;1;0;0,8
0,9;1;0;0,633333333
0,3;1,5;0,5;0,766666667
0,3;0,3;0,5;0,366666667
0;0,1;1,5;0,533333333
0,1;0,6;1,2;0,633333333
0,3;0,1;0,5;0,3
0;0,5;0,5;0,333333333
0;0,4;0,1;0,166666667
0;0;0,1;0,033333333
0;0,6;0,3;0,3
0;0,7;0;0,233333333
0;0,1;0,5;0,2
0;0;0,9;0,3
0;0,6;0;0,2
0,5;0,3;0,6;0,466666667
0,2;0,2;1;0,466666667
0,3;0;1,1;0,466666667
0,4;0;1,1;0,5
0,7;1,7;1,1;1,166666667
0;1,8;0,8;0,866666667
0;1,3;1,4;0,9
0,3;0,1;0,4;0,266666667
0,8;0,6;1;0,8
0;0,5;1,2;0,566666667
0,2;0,4;0,2;0,266666667
0,2;0,1;0,4;0,233333333
0,4;0;0;0,133333333
1,4;0,2;0;0,533333333
2,4;0;0;0,8
0,4;0;0;0,133333333
1,7;0,3;1,7;1,233333333
0;0;1,7;0,566666667
0;0,1;0,4;0,166666667
0,2;0,5;0,2;0,3
0,9;1;1,2;1,033333333
0,9;0;0,2;0,366666667
1;0;0,7;0,566666667
0,2;0,3;1,3;0,6
0;1,2;2;1,066666667
0,2;1,3;2,5;1,333333333
0;0;2,1;0,7
0,1;1,3;2,9;1,433333333
0;1,7;2,9;1,533333333
0,2;1,1;1,6;0,966666667
0,3;1,4;1,1;0,933333333
0,1;2,2;2,8;1,7
0,4;1,9;3,5;1,933333333
3,2;2,2;3;2,8
3,1;2,9;3,4;3,133333333
2,4;0,2;3,3;1,966666667
2,7;1,1;3,3;2,366666667
2,6;0,4;3,3;2,1
5,8;1,6;3,1;3,5
4,9;3,1;1,9;3,3
5,5;3,3;0,8;3,2
3,5;1,4;0,2;1,7
1,2;1,7;1,7;1,533333333
1,4;2;1,3;1,566666667
0,8;2;1,7;1,5
2,3;2;0,8;1,7
0,5;1,8;0,1;0,8
0,4;1,1;2,3;1,266666667
5,4;0,6;4;3,333333333
7,1;2;4,1;4,4
7,6;3,9;3,7;5,066666667
5,9;3,6;4;4,5
4,5;3,2;6,5;4,733333333
3,4;2,6;5,1;3,7
1,8;0,5;2,6;1,633333333
1,4;1,8;3,4;2,2
1,4;5,7;0,8;2,633333333
0,4;8,3;0,4;3,033333333
1,5;6;1;2,833333333
2,1;8,8;1,4;4,1
0,6;5,8;4,8;3,733333333
3,4;3,8;6,6;4,6
2,8;5,9;4,1;4,266666667
8,2;3;2,9;4,7
7,5;3,3;2,8;4,533333333
5,2;5,7;3,4;4,766666667
8;4,5;4,5;5,666666667
8;3,9;6,4;6,1
3,9;5,2;5,1;4,733333333
4;3,8;7,4;5,066666667
4,9;2,7;10,3;5,966666667
5;5,8;9,9;6,9
4,9;8,7;7,3;6,966666667
2,9;9,8;9;7,233333333
3,8;8,6;8,8;7,066666667
4,3;9,5;7,2;7
3,7;8,6;7,3;6,533333333
6;7,8;11,1;8,3
3;8,4;9,4;6,933333333
4,1;8,2;7,2;6,5
3,8;9;4,3;5,7
3,5;10,8;3,3;5,866666667
4,3;6,6;8;6,3
4,8;5,3;10,1;6,733333333
5,4;2,2;11,9;6,5
3,4;3,7;12,9;6,666666667
5,6;8,9;10,5;8,333333333
4,7;8,4;9,9;7,666666667
6,8;9,5;9,9;8,733333333
8,4;8,4;12,5;9,766666667
9,9;5,7;10,6;8,733333333
11,9;3,9;7,8;7,866666667
10,2;5;9,6;8,266666667
4,3;6,6;8,6;6,5
6,7;0,6;11,2;6,166666667
5,3;3,6;10,5;6,466666667
8,3;7,5;11,6;9,133333333
10,1;8,3;11,3;9,9
9,5;12,5;10,2;10,73333333
10,6;13;11,2;11,6
11,5;12,7;14,5;12,9
14,8;13,2;14,3;14,1
14,6;12,4;14,1;13,7
11,3;10,2;13;11,5
12,8;8,2;11,1;10,7
14,6;8,2;9,3;10,7
10,5;7,3;11,1;9,633333333
11,4;11,1;11,4;11,3
10,8;7,3;11,1;9,733333333
10,9;8;11,2;10,03333333
12,7;11,7;12,7;12,36666667
13,9;10,9;10,5;11,76666667
12,4;12,5;13,6;12,83333333
12,5;17;11,8;13,76666667
9,4;15,5;14,6;13,16666667
9,9;11,7;16,5;12,7
12,8;11,6;16,3;13,56666667
10,3;14,1;16;13,46666667
10,1;15,5;13,9;13,16666667
7,1;16,4;14,9;12,8
9,2;16,5;15,5;13,73333333
13,3;16,9;14,3;14,83333333
15,3;18,3;8,6;14,06666667
14,9;17;11,9;14,6
15;17,9;15,6;16,16666667
16,9;17,4;12,9;15,73333333
18,9;16,7;13,5;16,36666667
18;14,4;15,3;15,9
9,3;14,6;15,5;13,13333333
8,5;13,8;16,4;12,9
8,6;15,7;14,8;13,03333333
13,5;15,2;15,8;14,83333333
17,3;14,8;14,2;15,43333333
13,9;15,2;13,5;14,2
