2019-2022;2020;2021;Mean
0,9;0,5;0;0,466666667
1,7;0,6;0;0,766666667
0,5;0,2;0,1;0,266666667
0;0,1;0,1;0,066666667
0;0;0,8;0,266666667
0;0;1,1;0,366666667
0;1,3;0,7;0,666666667
0;1,2;0,3;0,5
0;1,3;0,2;0,5
0;0;0;0
0;0,1;0;0,033333333
0;0;0;0
0;0,3;0,1;0,133333333
0;0;0,1;0,033333333
0,2;0,4;0,5;0,366666667
0;1;0;0,333333333
0,2;0,3;0,2;0,233333333
0;0;0,6;0,2
0;0;1,3;0,433333333
0,8;0,6;1,2;0,866666667
0;0,5;0,2;0,233333333
0;0,6;0;0,2
0;0;0,2;0,066666667
0,3;0;0;0,1
0;0;0,3;0,1
0;0;0,2;0,066666667
0,2;0;0,5;0,233333333
0,8;0;0,1;0,3
1;0;0;0,333333333
2;0;0,4;0,8
0;0;0,2;0,066666667
0,3;0;0,8;0,366666667
0;0;1,7;0,566666667
0,3;0;0,4;0,233333333
0,4;0;0;0,133333333
1;0,4;0,2;0,533333333
1,5;0;0,7;0,733333333
1,4;0;0;0,466666667
0,7;0;0,1;0,266666667
0,8;0;1,2;0,666666667
0,2;0,1;2;0,766666667
0;0,5;0,5;0,333333333
0;0;1,7;0,566666667
0;0,4;0,6;0,333333333
0;0,2;0,7;0,3
0,2;1,1;0,1;0,466666667
0,6;1,7;1,2;1,166666667
0;0,5;1;0,5
1,8;1,3;2,1;1,733333333
1;1,3;1,6;1,3
0,1;1,1;1,1;0,766666667
1,6;0;1,2;0,933333333
2,7;0,7;0,7;1,366666667
1,4;2,8;1;1,733333333
2,7;3;0,5;2,066666667
2,8;1;0,1;1,3
3,5;1;0;1,5
1,7;0,8;0;0,833333333
0;3;0,5;1,166666667
0,1;1,4;1,4;0,966666667
2,3;1,7;1,2;1,733333333
2,2;1,1;0;1,1
1,1;0,1;0,7;0,633333333
1,7;0;0,9;0,866666667
3,9;0,6;1,7;2,066666667
4,7;2,1;1,7;2,833333333
4,9;1,1;2,7;2,9
2,4;1,4;2,4;2,066666667
0,8;2,7;4,1;2,533333333
0,3;2,1;2,4;1,6
1,4;0,5;0,1;0,666666667
0,7;0,7;1,2;0,866666667
0,4;3,8;0,1;1,433333333
0,7;5,1;0,9;2,233333333
0,3;3,9;2,5;2,233333333
0,2;3,6;3,8;2,533333333
0,7;3;4;2,566666667
0,4;1,2;3,1;1,566666667
4,5;2,3;1;2,6
5;2,9;0,9;2,933333333
4,5;2,6;2,4;3,166666667
5,5;3,6;3,1;4,066666667
6,9;3,3;3,8;4,666666667
4,9;2,7;3,2;3,6
2,6;2,7;5,6;3,633333333
2,9;2,1;5,6;3,533333333
3,3;3;6,4;4,233333333
1,4;5,2;4,3;3,633333333
0,6;5,6;5,5;3,9
0,2;5,6;6,4;4,066666667
0,3;7,5;3,5;3,766666667
1,2;8,1;5;4,766666667
2,2;7;8,5;5,9
0,7;7,1;7,5;5,1
2,8;7,6;5,6;5,333333333
3,1;7;1,6;3,9
4;5,9;0,1;3,333333333
2,2;4,2;4,4;3,6
4,4;1,4;7,1;4,3
3,8;0,6;6,6;3,666666667
1,8;1,9;8,1;3,933333333
1,3;2,2;6,2;3,233333333
0,7;2;3,8;2,166666667
5,5;4,8;3;4,433333333
9,7;5,1;5,5;6,766666667
9,1;3,4;3,9;5,466666667
11,9;4,7;2,4;6,333333333
11,8;1,2;3,4;5,466666667
8,3;1,7;5,3;5,1
2,1;1;8,6;3,9
3,6;0,7;10;4,766666667
5,5;5,5;8,7;6,566666667
6,1;10;7,2;7,766666667
7,3;11,5;6,9;8,566666667
7,7;10,1;5,9;7,9
10,6;7,2;7,6;8,466666667
11,1;5,5;9,5;8,7
14,1;3,5;12,2;9,933333333
11,3;4,3;13,3;9,633333333
10,8;5;11,8;9,2
10,3;5,2;6;7,166666667
10,3;5,1;7,5;7,633333333
11,7;2,2;8,7;7,533333333
11,6;1,8;10;7,8
13,8;4,9;8,7;9,133333333
11;3,9;7,6;7,5
11,4;3,3;5,3;6,666666667
13,2;6,3;6,8;8,766666667
13,3;11,2;8,7;11,06666667
10,3;9,6;12;10,63333333
9;6,6;13,5;9,7
9,9;8,6;11,7;10,06666667
9,1;10,3;13,3;10,9
6;9,7;11,5;9,066666667
4,8;10,2;13,2;9,4
