2019-2022;2020;2021;Mean;Mean;Mean;DE
1,7;0,1;0;0,6;1,133333333;0,633333333;0,788888889
1,9;0,3;0;0,733333333;1;0,666666667;0,8
0;1,2;0;0,4;1,266666667;0,966666667;0,877777778
0;0,1;0,2;0,1;0,966666667;0,5;0,522222222
0,4;0;0,3;0,233333333;1,5;0,866666667;0,866666667
1,5;0;0,5;0,666666667;2,2;1,266666667;1,377777778
1,9;0,3;1,6;1,266666667;2,133333333;2,133333333;1,844444444
2,5;2,3;3,1;2,633333333;3,866666667;2,633333333;3,044444444
5,7;3,1;4,4;4,4;4,833333333;7,033333333;5,422222222
5,7;4,4;4,3;4,8;4,733333333;5,2;4,911111111
6,4;1;3,2;3,533333333;2,2;6,5;4,077777778
2,7;0,1;0,5;1,1;0,4;4,5;2
4,2;0,9;3,2;2,766666667;1,2;3,666666667;2,544444445
1,6;0;3,7;1,766666667;1,4;3,466666667;2,211111111
4;0,1;2,6;2,233333333;2,5;4,466666667;3,066666667
2,8;0;3,4;2,066666667;2,966666667;5,533333333;3,522222222
2,7;0;4,2;2,3;2,5;5,866666667;3,555555556
0,9;1,2;5,2;2,433333333;2;4,3;2,911111111
3,3;4,1;3;3,466666667;3,066666667;3,6;3,377777778
6,6;5;3,1;4,9;4,9;6,433333333;5,411111111
6,3;0,2;5,2;3,9;4,3;6,766666667;4,988888889
1,8;0;6,1;2,633333333;5,066666667;4,666666667;4,122222222
4;1,3;7,1;4,133333333;6,166666667;7,333333333;5,877777778
5,5;2;7,9;5,133333333;6,933333333;9,033333333;7,033333333
6,9;2,2;8,1;5,733333333;6,033333333;9,166666667;6,977777778
3,1;0;7,3;3,466666667;4,3;7,533333333;5,1
3,5;0,5;7,4;3,8;2,466666667;5,733333333;4
3;2,6;4,6;3,4;3,033333333;3,933333333;3,455555555
3,1;3,7;4,5;3,766666667;3,533333333;4,666666667;3,988888889
6;4,2;2,7;4,3;5,733333333;4,7;4,911111111
8,1;3,7;1,7;4,5;7,533333333;6,833333333;6,288888889
9,7;2,5;3,5;5,233333333;7,466666667;8,966666667;7,222222222
10,3;4,1;5;6,466666667;5,866666667;6,066666667;6,133333334
6,1;6,3;6,6;6,333333333;5,8;7,166666667;6,433333333
6;5,6;3,1;4,9;5,466666667;7,633333333;6
9;1,7;0,4;3,7;4,1;6,333333333;4,711111111
6,7;3,9;0,3;3,633333333;2,566666667;4,166666667;3,455555556
5,6;5,2;1,9;4,233333333;3,233333333;3,6;3,688888889
3,5;3,7;3,5;3,566666667;2,7;3,533333333;3,266666667
4,2;2,1;2,7;3;2,633333333;4,3;3,311111111
5,5;3,8;2,9;4,066666667;3,633333333;4,266666667;3,988888889
6,3;5,7;5,7;5,9;5,3;5,9;5,7
3,1;2,8;2,9;2,933333333;2;2,333333333;2,422222222
1,5;1,5;2,1;1,7;1,533333333;1,533333333;1,588888889
1,5;3,7;1,2;2,133333333;1,366666667;1,333333333;1,611111111
1,9;5,7;3,3;3,633333333;3,4;2,733333333;3,255555555
1,2;6,4;1,4;3;2,933333333;4,8;3,577777778
1,9;0,6;4;2,166666667;2,933333333;3,433333333;2,844444444
0,2;1,8;1,7;1,233333333;2,333333333;4,633333333;2,733333333
1,4;2,6;1;1,666666667;2,3;3,9;2,622222222
2,9;2,8;1,3;2,333333333;1,833333333;4,333333333;2,833333333
