2019-2022;2020;2021;Mean
4,5;1,6;1,4;2,5
8,1;1,3;1,1;3,5
2,1;0,8;0,2;1,033333333
1,5;1;1,9;1,466666667
1,6;1,9;3,3;2,266666667
2,6;1,3;2,4;2,1
0,1;4,5;3,5;2,7
1,2;1,1;3,3;1,866666667
0,3;0,9;3,5;1,566666667
0;1,7;4,4;2,033333333
0,3;2,9;4,8;2,666666667
1;3,9;4,2;3,033333333
1,2;1,6;3,1;1,966666667
3,5;2,6;1,9;2,666666667
2,4;2,3;1,5;2,066666667
1,8;3,7;3,7;3,066666667
3,2;6,4;3,6;4,4
1,2;8;1,3;3,5
0,5;6,3;1,5;2,766666667
0,2;1,7;1,7;1,2
0,2;2,8;0,9;1,3
0,8;3,9;0,1;1,6
2,8;3,3;0,3;2,133333333
4,3;3,1;0,9;2,766666667
1,4;3,4;1,9;2,233333333
0,6;3,5;2;2,033333333
1;1,7;2,2;1,633333333
1,5;0;2,5;1,333333333
1,2;0;1,4;0,866666667
0,6;0;0,4;0,333333333
1,3;0;0;0,433333333
0,4;0;0;0,133333333
0,4;1,2;0,6;0,733333333
0;0;0,9;0,3
0;0,4;2,5;0,966666667
0;0,1;0,4;0,166666667
0;0;0,3;0,1
0;0;0;0
0;0;0,1;0,033333333
0;0;0,2;0,066666667
0;0,9;0,1;0,333333333
0;0;0;0
0,4;0;0;0,133333333
1,4;0;0;0,466666667
4,1;0;0;1,366666667
3;0;0;1
0,3;0;0;0,1
0;0;0;0
0,1;0;0;0,033333333
0;0;0;0
0;0;0,8;0,266666667
0;0;1,1;0,366666667
0;0;0,1;0,033333333
0;2,2;0;0,733333333
0;1,6;0;0,533333333
1,2;0,1;0;0,433333333
0,2;0,1;0;0,1
1,6;0;0;0,533333333
0,2;0;0,2;0,133333333
0;0;0,1;0,033333333
0;0;0,5;0,166666667
0;0;0;0
0;0;0,5;0,166666667
0;0,2;0;0,066666667
0;1,2;0;0,4
0;3;0;1
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0,1;0;0,033333333
0;0,2;0;0,066666667
0;0;0;0
0;0;0;0
0;0,1;0;0,033333333
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0,1;0;0;0,033333333
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;
;0;;
