2019-2022;2020;2021;Mean
8,4;1,7;1,1;3,733333333
2,5;0,7;1,8;1,666666667
1,8;0,3;2,7;1,6
4,8;2,6;0,5;2,633333333
2,3;2,6;1,8;2,233333333
1,3;1,1;2,4;1,6
0,7;1;2,6;1,433333333
1,7;1,3;3,6;2,2
0;2,8;4,4;2,4
1,2;4,4;4,3;3,3
2,2;1;3,6;2,266666667
2,2;2,1;2,3;2,2
2;4,1;1,5;2,533333333
0,9;3;1,9;1,933333333
2,9;5,7;2,8;3,8
0;6,8;2,3;3,033333333
0;6,6;0,2;2,266666667
0;0,9;0,1;0,333333333
0;1;0;0,333333333
0,1;1,5;0;0,533333333
1,4;2;0;1,133333333
3;2,8;0,3;2,033333333
2,7;3,9;1,3;2,633333333
0,6;4,1;0,6;1,766666667
0,3;2,4;2;1,566666667
1,3;0;3,3;1,533333333
0,4;0;2,2;0,866666667
0,6;0;0,5;0,366666667
0,2;0,6;0,1;0,3
0,3;0,6;0;0,3
0,5;0,9;0,4;0,6
0;0;1;0,333333333
0;0,1;2,6;0,9
0;2;0,2;0,733333333
0;0,7;0;0,233333333
0;0,1;0;0,033333333
0;0,1;0,6;0,233333333
0;0,1;0,1;0,066666667
0;0;0;0
0;0;0;0
0;0;0;0
1,2;0;0;0,4
3,6;0;0;1,2
3,1;0;0;1,033333333
1,4;0;0;0,466666667
0;0;0;0
0,4;0;0;0,133333333
0,9;0;0;0,3
0;0;0,1;0,033333333
1,1;0;0,9;0,666666667
0,1;0;0,4;0,166666667
0,3;0;0;0,1
0,2;0,8;0;0,333333333
0,1;0,1;0;0,066666667
0,5;0,2;0;0,233333333
0,4;0,2;0;0,2
0,1;0;0;0,033333333
0;0;0,1;0,033333333
0;0;0;0
0;0;0;0
0;0;0,3;0,1
0;0;0;0
0;0;0;0
0;1,4;0;0,466666667
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
