2019-2022;2020;2021;Mean
1,9;2,1;2,5;2,166666667
0,7;0,7;3,5;1,633333333
0,2;0,9;4,5;1,866666667
0,7;1,8;4,8;2,433333333
0,3;2,1;4,7;2,366666667
0,2;2,8;4,5;2,5
0,3;1,1;3;1,466666667
0,9;1,1;1,9;1,3
0,7;1;1,1;0,933333333
2,9;2,2;3;2,7
2,4;5;1,7;3,033333333
1,3;6,9;1,7;3,3
1,9;3,3;2;2,4
0,2;0,7;2,4;1,1
0,3;1,3;1,7;1,1
0,2;2,3;0,4;0,966666667
0,1;1,7;1;0,933333333
0,7;2,2;1,5;1,466666667
2,7;2,1;1,3;2,033333333
3,6;1,4;2,5;2,5
1,1;0,1;2,9;1,366666667
0,6;0;3,1;1,233333333
0,5;0,1;1,1;0,566666667
0,9;0,2;0,9;0,666666667
0,6;0,2;0;0,266666667
0,5;0,8;0;0,433333333
0,5;0,9;0;0,466666667
0,2;0,1;0,1;0,133333333
0,9;0;0,2;0,366666667
0;0;0,3;0,1
0;0;0;0
0;0;0;0
0;0;0,4;0,133333333
0;0;0,1;0,033333333
0;0,1;0,1;0,066666667
0;0;0,2;0,066666667
0;0;0;0
0;0;0;0
0,1;0;0;0,033333333
0,2;0;0,1;0,1
1,5;0;0;0,5
0,5;0;0;0,166666667
0,4;0;0;0,133333333
0;0;0;0
0;0;1,5;0,5
0;0;0,9;0,3
0;0;0;0
0;1;0;0,333333333
0;0;0;0
0;0;0;0
0;0,1;0;0,033333333
0,8;0,1;0;0,3
0;0;0;0
1;0;0,1;0,366666667
0;0;0,2;0,066666667
0;0;0;0
0;0;0;0
0;0;0;0
0;0,6;0;0,2
0;1,2;0;0,4
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0,1;0;0,033333333
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
