2019-2022;2020;2021;Mean;Mean;NE
7,4;6,2;6,1;6,566666667;7,266666667;6,916666667
7;4;5;5,333333333;5,7;5,516666667
6,5;6,2;7,6;6,766666667;6,666666667;6,716666667
6,7;4,7;7,8;6,4;6,333333333;6,366666667
6,2;4,1;8,1;6,133333333;6,333333333;6,233333333
4,3;5,2;8,7;6,066666667;6,1;6,083333334
6;4,8;5,8;5,533333333;5,333333333;5,433333333
5,3;4,2;6,4;5,3;4,766666667;5,033333334
3,5;4,3;8,2;5,333333333;5,133333333;5,233333333
2,8;6;8,4;5,733333333;5,866666667;5,8
1,6;4,6;8,5;4,9;5;4,95
3,7;4;6,4;4,7;4,1;4,4
2,8;2,5;1;2,1;2,2;2,15
0,6;1,3;0,7;0,866666667;1;0,933333334
0,9;2,6;2,4;1,966666667;2,033333333;2
2,2;7;3,7;4,3;4,2;4,25
1,4;7,6;3,5;4,166666667;4,166666667;4,166666667
1,6;7,7;4,5;4,6;4,2;4,4
1,3;7,9;5;4,733333333;4,5;4,616666667
0;6,7;3,9;3,533333333;3,333333333;3,433333333
0,7;5;4,4;3,366666667;2,966666667;3,166666667
0,1;3,4;3,9;2,466666667;2,266666667;2,366666667
0,4;2,2;4,3;2,3;2,1;2,2
2,6;1,3;3,8;2,566666667;2,4;2,483333334
1,5;0,9;2,7;1,7;1,633333333;1,666666667
2;0,9;5;2,633333333;2,533333333;2,583333333
0,8;0;4,4;1,733333333;1,666666667;1,7
1,6;0,9;4,2;2,233333333;2,3;2,266666667
2,2;1,9;4,9;3;2,933333333;2,966666667
0,4;1,2;4,7;2,1;2;2,05
1,4;1,8;4,8;2,666666667;2,566666667;2,616666667
3,2;1,1;3,4;2,566666667;2,733333333;2,65
4,7;1,5;2,9;3,033333333;3,066666667;3,05
5;2,1;2,4;3,166666667;3,1;3,133333334
3,1;1;1,4;1,833333333;2;1,916666667
3;0,4;1;1,466666667;1,633333333;1,55
2,7;0,3;0,2;1,066666667;1,3;1,183333334
0,8;0,2;0;0,333333333;0,333333333;0,333333333
0;0,8;0,3;0,366666667;0,866666667;0,616666667
0,1;2,6;0,8;1,166666667;1,1;1,133333334
1,3;5,1;0,9;2,433333333;2,8;2,616666667
0,2;4,1;1,3;1,866666667;2,233333333;2,05
1,9;3;0,7;1,866666667;1,633333333;1,75
1,9;2;0,4;1,433333333;1,3;1,366666667
1,5;2,7;0,7;1,633333333;1,1;1,366666667
1,4;2,4;0,4;1,4;1,3;1,35
0,3;0,5;0,5;0,433333333;1,1;0,766666667
0,8;0,1;1,7;0,866666667;1,2;1,033333334
2,1;0;0,7;0,933333333;0,466666667;0,7
1,9;0;0,1;0,666666667;0,333333333;0,5
1,3;0,1;0,7;0,7;0,3;0,5
0,6;0;0;0,2;0,233333333;0,216666667
0,8;0,1;0;0,3;0,233333333;0,266666667
0,8;0;0;0,266666667;0,033333333;0,15
0,4;0,5;0,1;0,333333333;0,3;0,316666667
0;0,6;1,3;0,633333333;0,833333333;0,733333333
0,1;0,5;1,1;0,566666667;1;0,783333334
1;0,5;1,3;0,933333333;0,6;0,766666667
1,4;0,8;1,7;1,3;0,733333333;1,016666667
0;0;1,4;0,466666667;0,3;0,383333334
0;0;0,1;0,033333333;0,033333333;0,033333333
0;0;0;0;0,066666667;0,033333334
0;0;0;0;0,1;0,05
0,3;0;0,1;0,133333333;0,066666667;0,1
0,2;0,4;1,5;0,7;0,566666667;0,633333334
0,1;0,3;0,7;0,366666667;0,333333333;0,35
0;0;0,4;0,133333333;0,2;0,166666667
0;0;0,6;0,2;0,7;0,45
0,3;0,2;0;0,166666667;0,766666667;0,466666667
1,5;0,1;0,2;0,6;0,066666667;0,333333334
1,6;0;0;0,533333333;0,133333333;0,333333333
0,1;0,5;0,2;0,266666667;0,8;0,533333334
0,6;1,7;0,8;1,033333333;1,066666667;1,05
1,6;1,2;0,9;1,233333333;1,166666667;1,2
1,8;0,1;0,5;0,8;0,333333333;0,566666667
1,9;0,7;0,3;0,966666667;0,133333333;0,55
0,8;1,9;0,4;1,033333333;0,666666667;0,85
0;1,6;0;0,533333333;0,633333333;0,583333333
0;1,3;0;0,433333333;0,633333333;0,533333333
0;0,2;0;0,066666667;0,3;0,183333334
0,6;1;0;0,533333333;0,633333333;0,583333333
