,Tech. 0,Tech. 1,Tech. 2,Tech. 3,Tech. 4,Tech. 5,Tech. 6,Tech. 7
4705,0.5,0.7734259377949727,0.45,0.5,0.16937135545470708,0.022569353889942727,0.7842936028927292,0.0773388611039945
4706,0.5,0.7734259377949727,0.5,0.5,0.15600874103708787,0.022272388707180322,0.7839207013466856,0.07817720809212178
4707,0.5,0.7734259377949727,0.5,0.5,0.14600104444302597,0.022569353889942727,0.78367210031599,0.08038317546805927
4708,0.5,0.7734259377949727,0.5,0.5,0.140997196145995,0.022866319072705133,0.7835477998006422,0.0825891428439968
4709,0.5,0.7734259377949727,0.425,0.5,0.1335199521387537,0.02405417980375475,0.7834234992852943,0.08938346943837024
4710,0.44999999999999996,0.7734259377949727,0.35,0.5,0.16281735566676978,0.026429901265853987,0.7839207013466856,0.10297212262711715
4711,0.35,0.7734259377949727,0.25,0.5,0.18389490981956555,0.028508657545190816,0.7841693023773814,0.11536957989461483
4712,0.25,0.7734259377949727,0.25,0.5,0.19390260641362744,0.029696518276240435,0.784417903408077,0.11911959212492353
4713,0.19999999999999996,0.7734259377949727,0.25,0.5,0.2139179996017512,0.02821169236242841,0.7849151054694683,0.11214884106398908
4714,0.16000000000000003,0.7734259377949727,0.25,0.5,0.2589526342750297,0.026726866448616392,0.7860338101075988,0.10213377563898986
4715,0.16000000000000003,0.7734259377949727,0.275,0.5,0.3048117341850449,0.025539005717566773,0.7871525147457292,0.09635422049930469
4716,0.16000000000000003,0.7734259377949727,0.275,0.5,0.36986176204644716,0.025242040534804368,0.7887684214452511,0.09211871021399066
4717,0.25,0.7734259377949727,0.3,0.5,0.460755496629741,0.02464811016927956,0.791005830721512,0.08770677546211568
4718,0.25,0.7734259377949727,0.325,0.5,0.5516492312130347,0.023757214620992353,0.7932432399977729,0.08616273060774447
4719,0.25,0.7734259377949727,0.35,0.5,0.6175237243111737,0.023460249438229948,0.7948591466972947,0.08294199177711874
4720,0.16000000000000003,0.7734259377949727,0.375,0.5,0.6433674310330652,0.022866319072705133,0.7954806492740338,0.08055959993462027
4721,0.19999999999999996,0.7734259377949727,0.35,0.5,0.6325352692022665,0.022569353889942727,0.7952320482433383,0.07835363255868276
4722,0.35,0.7734259377949727,0.3,0.5,0.5608324625703598,0.022272388707180322,0.7934918410284686,0.07817720809212178
4723,0.44999999999999996,0.7734259377949727,0.3,0.5,0.43573625514458625,0.02197542352441792,0.7903843281447728,0.07901555508024907
4724,0.5,0.7734259377949727,0.4,0.5,0.38399178482419305,0.022272388707180322,0.7890170224759467,0.08020675100149831
4725,0.5,0.7734259377949727,0.475,0.5,0.3064036077819084,0.022569353889942727,0.7870282142303814,0.0824127183774358
4726,0.5,0.7734259377949727,0.475,0.5,0.2520051028999798,0.022866319072705133,0.7860338101075988,0.0825891428439968
4727,0.5,0.7734259377949727,0.475,0.5,0.20522275877066048,0.022866319072705133,0.785163706500164,0.08055959993462027
4728,0.5,0.7734259377949727,0.425,0.5,0.18337395944332657,0.025413179337339473,0.7846619218817168,0.08105789630631406
