2019-2022;2020;2021;Mean;Mean;BEL
4,7;3,3;4;4;4,4;4,2
5,2;3,5;7,1;5,266666667;5,6;5,433333334
6,7;2,9;7,9;5,833333333;6,366666667;6,1
5,7;4;8,1;5,933333333;6,566666667;6,25
3,9;4,9;7;5,266666667;5,833333333;5,55
3,8;4,8;5,8;4,8;5,366666667;5,083333334
4,1;4;5,6;4,566666667;4,8;4,683333334
2,5;3,2;7,8;4,5;4,8;4,65
2,4;5;7,8;5,066666667;5,833333333;5,45
1,5;3,8;7,4;4,233333333;4,7;4,466666667
2;2,9;5;3,3;3,3;3,3
2,5;1,5;0,8;1,6;1,7;1,65
0,8;0,8;0,3;0,633333333;0,8;0,716666667
0,1;1,6;2,4;1,366666667;1,4;1,383333334
1,2;6,4;3,4;3,666666667;4,066666667;3,866666667
1,9;7,2;4;4,366666667;4,9;4,633333334
1,7;6,3;5,2;4,4;4,733333333;4,566666667
1,1;6,4;4,6;4,033333333;4,5;4,266666667
0,1;5,6;4;3,233333333;3,6;3,416666667
0,4;4,5;4;2,966666667;3,1;3,033333334
0,2;3,2;2,8;2,066666667;2,433333333;2,25
0,1;1,8;4;1,966666667;2,5;2,233333334
1,9;1,1;3,2;2,066666667;2,366666667;2,216666667
1,8;0,8;1,7;1,433333333;1,833333333;1,633333333
1,9;0,6;4,9;2,466666667;2,5;2,483333334
0,6;0;3,1;1,233333333;1,533333333;1,383333333
2,2;0,7;3,6;2,166666667;2,6;2,383333334
2,1;1,7;5,3;3,033333333;3,466666667;3,25
0,8;0,5;4;1,766666667;2;1,883333334
0,9;1,6;4;2,166666667;2,333333333;2,25
2,5;0,6;3,8;2,3;2,666666667;2,483333334
4,8;1,6;1,8;2,733333333;3,333333333;3,033333333
4,7;1,7;2;2,8;3,033333333;2,916666667
3,2;0,7;0,7;1,533333333;1,833333333;1,683333333
3,1;0,6;0,8;1,5;1,533333333;1,516666667
2,9;0,7;0,4;1,333333333;1,566666667;1,45
0;0,2;0;0,066666667;0,133333333;0,1
1,1;0,4;0,1;0,533333333;0,566666667;0,55
0,3;1,6;0,4;0,766666667;1,3;1,033333334
2,2;4,5;1;2,566666667;2,866666667;2,716666667
2;3,4;0,9;2,1;2,433333333;2,266666667
0,8;2,2;0,2;1,066666667;1,5;1,283333334
1,4;2,1;0;1,166666667;1,666666667;1,416666667
0,5;1,8;0,4;0,9;1,4;1,15
1,3;1,8;0,1;1,066666667;1,533333333;1,3
1,1;0,5;0,1;0,566666667;0,933333333;0,75
1,5;0,2;0,9;0,866666667;1,4;1,133333334
1,3;0,2;0,5;0,666666667;0,8;0,733333334
0,4;0;0;0,133333333;0,3;0,216666667
0,4;0;0;0,133333333;0,366666667;0,25
0,9;0,1;0;0,333333333;0,333333333;0,333333333
0;0;0;0;0,033333333;0,016666667
0;0,1;0;0,033333333;0,1;0,066666667
0;0,3;0;0,1;0,266666667;0,183333334
0,9;0,4;0,2;0,5;0,866666667;0,683333334
1,1;0,4;1,3;0,933333333;1,433333333;1,183333333
0;0,9;1,3;0,733333333;1,2;0,966666667
0;0,5;0,4;0,3;0,466666667;0,383333334
0;0;1,3;0,433333333;0,433333333;0,433333333
0;0;0;0;0,1;0,05
0,1;0;0;0,033333333;0,133333333;0,083333333
0,7;0;0;0,233333333;0,433333333;0,333333333
0;0;0;0;0,1;0,05
0;0,3;1,6;0,633333333;0,866666667;0,75
0;0,5;1,1;0,533333333;0,766666667;0,65
0;0;0,5;0,166666667;0,666666667;0,416666667
0,6;0,1;0,2;0,3;0,633333333;0,466666667
1,1;0,2;0;0,433333333;0,866666667;0,65
0;0;0,1;0,033333333;0,3;0,166666667
0,4;0;0;0,133333333;0,2;0,166666667
0,4;0,7;0,1;0,4;0,733333333;0,566666667
1,1;0,3;0,2;0,533333333;1,133333333;0,833333333
1,5;0,7;0;0,733333333;1,133333333;0,933333333
0,9;0;0;0,3;0,533333333;0,416666667
