2019-2022;2020;2021;Mean
0,6;1,2;0,1;0,633333333
1,7;0,5;0;0,733333333
1,4;0,5;0,1;0,666666667
1,5;0,4;0,4;0,766666667
0;0,1;0,2;0,1
0;0,1;0,1;0,066666667
0;0,5;0,3;0,266666667
0,1;0,5;0,3;0,3
0,2;1,9;0,2;0,766666667
0;1,9;0,9;0,933333333
0;1,3;0,1;0,466666667
0;0;0,1;0,033333333
0;0,1;0;0,033333333
0;0;0;0
0;0,2;0;0,066666667
0,5;0;0,1;0,2
0,1;0,7;0,7;0,5
0;0,4;0,2;0,2
0,2;0;0,8;0,333333333
0,2;0;1;0,4
0;0;1;0,333333333
0,4;1,1;0,9;0,8
0;1;0,2;0,4
0;0,6;0;0,2
0;0,1;0,3;0,133333333
0,1;0;0,4;0,166666667
0;0;0,7;0,233333333
0;0;0,5;0,166666667
0,2;0;0,6;0,266666667
0,8;0;0,4;0,4
1,6;0;0;0,533333333
1,7;0;0,7;0,8
0;0;0,1;0,033333333
0,5;0;0,8;0,433333333
0;0;2;0,666666667
0,2;0;0,2;0,133333333
0,7;0,1;0;0,266666667
1;0;0,1;0,366666667
1,7;0;0,5;0,733333333
1;0;0;0,333333333
1,1;0;0;0,366666667
0,3;0;1,2;0,5
0,1;0,2;1,7;0,666666667
0;0,5;0,2;0,233333333
0;0;1,3;0,433333333
0;0,8;0,8;0,533333333
0;0,4;0,8;0,4
1,2;1,5;0,1;0,933333333
0,8;1,4;0,3;0,833333333
0,3;0,9;0,3;0,5
2;2,3;0,6;1,633333333
0,6;1,9;1,5;1,333333333
0,6;0,9;1;0,833333333
2,2;0;0,8;1
3,2;0,8;0,8;1,6
1,6;2,3;0,6;1,5
2,3;2,2;0,2;1,566666667
3,5;0,4;0;1,3
2,8;0;0;0,933333333
1,1;0,6;0;0,566666667
0;2,3;1,3;1,2
0,1;1,3;1,3;0,9
1,6;1,1;1,1;1,266666667
2;0,7;0,1;0,933333333
0,6;0;1,4;0,666666667
1,6;0;1,1;0,9
4,4;1,4;1,1;2,3
4,2;3;1,2;2,8
3,9;1,6;2;2,5
2,7;0,9;3,6;2,4
0;2,5;3,4;1,966666667
0,2;1,9;2;1,366666667
0,7;0,6;0,3;0,533333333
0,8;1,9;1;1,233333333
0,5;5,2;0,1;1,933333333
0,9;4,3;0,5;1,9
1,1;2,1;2,6;1,933333333
0,7;2,7;3,4;2,266666667
1,1;1,3;4,5;2,3
0,5;0,7;2,4;1,2
4,7;1,7;1,6;2,666666667
5,2;3,9;2,5;3,866666667
3,8;3,3;2,5;3,2
5,3;4;3;4,1
4,5;3,5;4,2;4,066666667
5;2,7;3,2;3,633333333
2,3;3,2;5,6;3,7
3,9;2;4,8;3,566666667
3,2;3,2;5,7;4,033333333
1,4;5,8;3,8;3,666666667
0,5;6,2;4,7;3,8
0,1;5,3;6,1;3,833333333
1;5,6;4,2;3,6
1;7,9;4,5;4,466666667
2,9;6,5;7,4;5,6
2,2;7,1;5,7;5
2,7;7,7;4,3;4,9
3,7;6;0,3;3,333333333
5;5,3;0,1;3,466666667
3,9;3,1;5,3;4,1
3,1;1,2;7,1;3,8
2,8;1,1;6,1;3,333333333
1,2;2;6,6;3,266666667
2,1;1,9;5,2;3,066666667
0,4;3,4;3,7;2,5
5,9;5,2;2,3;4,466666667
7,8;5,6;3,5;5,633333333
8,2;4,3;2,5;5
10,9;4,4;3;6,1
11,5;1,5;3,5;5,5
6;2,1;5,8;4,633333333
2,3;1,9;8;4,066666667
4,9;1;9,5;5,133333333
5,1;6,7;8,6;6,8
6,7;8,9;7,4;7,666666667
6,9;10,2;7,8;8,3
8;9,9;5,6;7,833333333
9,9;6,6;8;8,166666667
9,8;3,8;8,9;7,5
11,5;3,1;10,2;8,266666667
9,9;3,9;9,1;7,633333333
10,5;4,6;8,7;7,933333333
9,1;5,1;4,8;6,333333333
10,1;4,9;6,6;7,2
11,9;2,6;9,4;7,966666667
11,6;2,7;10,4;8,233333333
11,7;5,4;8,1;8,4
10,3;4,1;7,4;7,266666667
11,5;3,2;4,7;6,466666667
13,9;6,7;6,5;9,033333333
14,1;11;8,8;11,3
8,1;7,8;11,9;9,266666667
