"Time (CET/CEST)","BZN|CH > BZN|FR Day Ahead [MW]","BZN|CH > BZN|FR Total [MW]","BZN|FR > BZN|CH Day Ahead [MW]","BZN|FR > BZN|CH Total [MW]"
"07.04.2016 15:00 - 07.04.2016 16:00","n/e","485","n/e","3685"
"07.04.2016 16:00 - 07.04.2016 17:00","n/e","579","n/e","3779"
"07.04.2016 17:00 - 07.04.2016 18:00","n/e","1102","n/e","4252"
"07.04.2016 18:00 - 07.04.2016 19:00","n/e","700","n/e","3206"
"07.04.2016 19:00 - 07.04.2016 20:00","n/e","578","n/e","2997"
"07.04.2016 20:00 - 07.04.2016 21:00","n/e","625","n/e","2646"
"07.04.2016 21:00 - 07.04.2016 22:00","n/e","1101","n/e","2670"
"07.04.2016 22:00 - 07.04.2016 23:00","n/e","916","n/e","2371"
"07.04.2016 23:00 - 08.04.2016 00:00","n/e","842","n/e","2312"
"08.04.2016 00:00 - 08.04.2016 01:00","n/e","597","n/e","2003"
"08.04.2016 01:00 - 08.04.2016 02:00","n/e","608","n/e","2068"
"08.04.2016 02:00 - 08.04.2016 03:00","n/e","434","n/e","2219"
"08.04.2016 03:00 - 08.04.2016 04:00","n/e","278","n/e","1868"
"08.04.2016 04:00 - 08.04.2016 05:00","n/e","454","n/e","2053"
"08.04.2016 05:00 - 08.04.2016 06:00","n/e","461","n/e","2399"
"08.04.2016 06:00 - 08.04.2016 07:00","n/e","341","n/e","2037"
"08.04.2016 07:00 - 08.04.2016 08:00","n/e","1716","n/e","2198"
"08.04.2016 08:00 - 08.04.2016 09:00","n/e","1722","n/e","1894"
"08.04.2016 09:00 - 08.04.2016 10:00","n/e","1644","n/e","2096"
"08.04.2016 10:00 - 08.04.2016 11:00","n/e","1632","n/e","2169"
"08.04.2016 11:00 - 08.04.2016 12:00","n/e","1120","n/e","2274"
"08.04.2016 12:00 - 08.04.2016 13:00","n/e","799","n/e","2405"
"08.04.2016 13:00 - 08.04.2016 14:00","n/e","615","n/e","2917"
"08.04.2016 14:00 - 08.04.2016 15:00","n/e","566","n/e","2956"
"08.04.2016 15:00 - 08.04.2016 16:00","n/e","580","n/e","2827"
"08.04.2016 16:00 - 08.04.2016 17:00","n/e","464","n/e","3487"
"08.04.2016 17:00 - 08.04.2016 18:00","n/e","457","n/e","3657"
"08.04.2016 18:00 - 08.04.2016 19:00","n/e","366","n/e","3462"
"08.04.2016 19:00 - 08.04.2016 20:00","n/e","759","n/e","2731"
"08.04.2016 20:00 - 08.04.2016 21:00","n/e","247","n/e","2270"
"08.04.2016 21:00 - 08.04.2016 22:00","n/e","612","n/e","2290"
"08.04.2016 22:00 - 08.04.2016 23:00","n/e","982","n/e","2153"
"08.04.2016 23:00 - 09.04.2016 00:00","n/e","1022","n/e","1973"
"09.04.2016 00:00 - 09.04.2016 01:00","n/e","681","n/e","2264"
"09.04.2016 01:00 - 09.04.2016 02:00","n/e","600","n/e","2380"
"09.04.2016 02:00 - 09.04.2016 03:00","n/e","509","n/e","2523"
"09.04.2016 03:00 - 09.04.2016 04:00","n/e","379","n/e","2535"
"09.04.2016 04:00 - 09.04.2016 05:00","n/e","419","n/e","2521"
"09.04.2016 05:00 - 09.04.2016 06:00","n/e","426","n/e","2689"
"09.04.2016 06:00 - 09.04.2016 07:00","n/e","315","n/e","2489"
"09.04.2016 07:00 - 09.04.2016 08:00","n/e","389","n/e","2231"
"09.04.2016 08:00 - 09.04.2016 09:00","n/e","447","n/e","2384"
"09.04.2016 09:00 - 09.04.2016 10:00","n/e","617","n/e","2102"
"09.04.2016 10:00 - 09.04.2016 11:00","n/e","994","n/e","1967"
"09.04.2016 11:00 - 09.04.2016 12:00","n/e","953","n/e","1591"
"09.04.2016 12:00 - 09.04.2016 13:00","n/e","852","n/e","1272"
"09.04.2016 13:00 - 09.04.2016 14:00","n/e","853","n/e","1134"
"09.04.2016 14:00 - 09.04.2016 15:00","n/e","603","n/e","1294"
"09.04.2016 15:00 - 09.04.2016 16:00","n/e","394","n/e","1805"
"09.04.2016 16:00 - 09.04.2016 17:00","n/e","374","n/e","1912"
"09.04.2016 17:00 - 09.04.2016 18:00","n/e","501","n/e","2884"
"09.04.2016 18:00 - 09.04.2016 19:00","n/e","540","n/e","2796"
"09.04.2016 19:00 - 09.04.2016 20:00","n/e","853","n/e","2688"
"09.04.2016 20:00 - 09.04.2016 21:00","n/e","930","n/e","2701"
"09.04.2016 21:00 - 09.04.2016 22:00","n/e","1184","n/e","2446"
"09.04.2016 22:00 - 09.04.2016 23:00","n/e","1281","n/e","2156"
"09.04.2016 23:00 - 10.04.2016 00:00","n/e","1049","n/e","1648"
"10.04.2016 00:00 - 10.04.2016 01:00","n/e","805","n/e","1868"
"10.04.2016 01:00 - 10.04.2016 02:00","n/e","744","n/e","1868"
"10.04.2016 02:00 - 10.04.2016 03:00","n/e","1024","n/e","2061"
"10.04.2016 03:00 - 10.04.2016 04:00","n/e","663","n/e","2089"
"10.04.2016 04:00 - 10.04.2016 05:00","n/e","142","n/e","2270"
"10.04.2016 05:00 - 10.04.2016 06:00","n/e","415","n/e","2411"
"10.04.2016 06:00 - 10.04.2016 07:00","n/e","500","n/e","2388"
"10.04.2016 07:00 - 10.04.2016 08:00","n/e","631","n/e","2344"
"10.04.2016 08:00 - 10.04.2016 09:00","n/e","144","n/e","2368"
"10.04.2016 09:00 - 10.04.2016 10:00","n/e","162","n/e","2487"
"10.04.2016 10:00 - 10.04.2016 11:00","n/e","202","n/e","2229"
"10.04.2016 11:00 - 10.04.2016 12:00","n/e","197","n/e","2227"
"10.04.2016 12:00 - 10.04.2016 13:00","n/e","332","n/e","2209"
"10.04.2016 13:00 - 10.04.2016 14:00","n/e","175","n/e","2996"
"10.04.2016 14:00 - 10.04.2016 15:00","n/e","199","n/e","3018"
"10.04.2016 15:00 - 10.04.2016 16:00","n/e","81","n/e","3281"
"10.04.2016 16:00 - 10.04.2016 17:00","n/e","91","n/e","3291"
"10.04.2016 17:00 - 10.04.2016 18:00","n/e","1","n/e","3201"
"10.04.2016 18:00 - 10.04.2016 19:00","n/e","11","n/e","3211"
"10.04.2016 19:00 - 10.04.2016 20:00","n/e","37","n/e","3222"
"10.04.2016 20:00 - 10.04.2016 21:00","n/e","11","n/e","3211"
"10.04.2016 21:00 - 10.04.2016 22:00","n/e","452","n/e","3652"
"10.04.2016 22:00 - 10.04.2016 23:00","n/e","519","n/e","3269"
"10.04.2016 23:00 - 11.04.2016 00:00","n/e","554","n/e","2432"
"11.04.2016 00:00 - 11.04.2016 01:00","n/e","542","n/e","1844"
"11.04.2016 01:00 - 11.04.2016 02:00","n/e","389","n/e","1879"
"11.04.2016 02:00 - 11.04.2016 03:00","n/e","234","n/e","2198"
"11.04.2016 03:00 - 11.04.2016 04:00","n/e","24","n/e","2461"
"11.04.2016 04:00 - 11.04.2016 05:00","n/e","24","n/e","2911"
"11.04.2016 05:00 - 11.04.2016 06:00","n/e","44","n/e","2637"
"11.04.2016 06:00 - 11.04.2016 07:00","n/e","412","n/e","2892"
"11.04.2016 07:00 - 11.04.2016 08:00","n/e","1010","n/e","2453"
"11.04.2016 08:00 - 11.04.2016 09:00","n/e","1314","n/e","2401"
"11.04.2016 09:00 - 11.04.2016 10:00","n/e","1150","n/e","2209"
"11.04.2016 10:00 - 11.04.2016 11:00","n/e","738","n/e","2502"
"11.04.2016 11:00 - 11.04.2016 12:00","n/e","685","n/e","2494"
"11.04.2016 12:00 - 11.04.2016 13:00","n/e","724","n/e","2734"
"11.04.2016 13:00 - 11.04.2016 14:00","n/e","502","n/e","2962"
"11.04.2016 14:00 - 11.04.2016 15:00","n/e","466","n/e","2792"
"11.04.2016 15:00 - 11.04.2016 16:00","n/e","510","n/e","2916"
"11.04.2016 16:00 - 11.04.2016 17:00","n/e","203","n/e","2993"
"11.04.2016 17:00 - 11.04.2016 18:00","n/e","269","n/e","3157"
"11.04.2016 18:00 - 11.04.2016 19:00","n/e","492","n/e","3249"
"11.04.2016 19:00 - 11.04.2016 20:00","n/e","1044","n/e","3488"
"11.04.2016 20:00 - 11.04.2016 21:00","n/e","1073","n/e","3140"
"11.04.2016 21:00 - 11.04.2016 22:00","n/e","867","n/e","2376"
"11.04.2016 22:00 - 11.04.2016 23:00","n/e","1082","n/e","2322"
"11.04.2016 23:00 - 12.04.2016 00:00","n/e","856","n/e","1933"
"12.04.2016 00:00 - 12.04.2016 01:00","n/e","520","n/e","2409"
"12.04.2016 01:00 - 12.04.2016 02:00","n/e","149","n/e","2446"
"12.04.2016 02:00 - 12.04.2016 03:00","n/e","103","n/e","2567"
"12.04.2016 03:00 - 12.04.2016 04:00","n/e","16","n/e","2676"
"12.04.2016 04:00 - 12.04.2016 05:00","n/e","17","n/e","2686"
"12.04.2016 05:00 - 12.04.2016 06:00","n/e","50","n/e","2838"
"12.04.2016 06:00 - 12.04.2016 07:00","n/e","309","n/e","3376"
"12.04.2016 07:00 - 12.04.2016 08:00","n/e","1593","n/e","3877"
"12.04.2016 08:00 - 12.04.2016 09:00","n/e","912","n/e","2370"
"12.04.2016 09:00 - 12.04.2016 10:00","n/e","1165","n/e","2670"
"12.04.2016 10:00 - 12.04.2016 11:00","n/e","1115","n/e","2678"
"12.04.2016 11:00 - 12.04.2016 12:00","n/e","382","n/e","2511"
"12.04.2016 12:00 - 12.04.2016 13:00","n/e","747","n/e","2679"
"12.04.2016 13:00 - 12.04.2016 14:00","n/e","632","n/e","2703"
"12.04.2016 14:00 - 12.04.2016 15:00","n/e","545","n/e","2775"
"12.04.2016 15:00 - 12.04.2016 16:00","n/e","333","n/e","2862"
"12.04.2016 16:00 - 12.04.2016 17:00","n/e","88","n/e","3288"
"12.04.2016 17:00 - 12.04.2016 18:00","n/e","1","n/e","3201"
"12.04.2016 18:00 - 12.04.2016 19:00","n/e","30","n/e","3230"
"12.04.2016 19:00 - 12.04.2016 20:00","n/e","48","n/e","3248"
"12.04.2016 20:00 - 12.04.2016 21:00","n/e","110","n/e","3310"
"12.04.2016 21:00 - 12.04.2016 22:00","n/e","578","n/e","3101"
"12.04.2016 22:00 - 12.04.2016 23:00","n/e","1105","n/e","3612"
"12.04.2016 23:00 - 13.04.2016 00:00","n/e","620","n/e","2491"
"13.04.2016 00:00 - 13.04.2016 01:00","n/e","421","n/e","2853"
"13.04.2016 01:00 - 13.04.2016 02:00","n/e","251","n/e","2966"
"13.04.2016 02:00 - 13.04.2016 03:00","n/e","71","n/e","2934"
"13.04.2016 03:00 - 13.04.2016 04:00","n/e","26","n/e","3160"
"13.04.2016 04:00 - 13.04.2016 05:00","n/e","24","n/e","3179"
"13.04.2016 05:00 - 13.04.2016 06:00","n/e","1","n/e","3201"
"13.04.2016 06:00 - 13.04.2016 07:00","n/e","41","n/e","3241"
"13.04.2016 07:00 - 13.04.2016 08:00","n/e","601","n/e","3801"
"13.04.2016 08:00 - 13.04.2016 09:00","n/e","778","n/e","3067"
"13.04.2016 09:00 - 13.04.2016 10:00","n/e","689","n/e","2501"
"13.04.2016 10:00 - 13.04.2016 11:00","n/e","211","n/e","2833"
"13.04.2016 11:00 - 13.04.2016 12:00","n/e","406","n/e","2986"
"13.04.2016 12:00 - 13.04.2016 13:00","n/e","402","n/e","2828"
"13.04.2016 13:00 - 13.04.2016 14:00","n/e","529","n/e","3094"
"13.04.2016 14:00 - 13.04.2016 15:00","n/e","659","n/e","3051"
"13.04.2016 15:00 - 13.04.2016 16:00","n/e","147","n/e","3000"
"13.04.2016 16:00 - 13.04.2016 17:00","n/e","188","n/e","3278"
"13.04.2016 17:00 - 13.04.2016 18:00","n/e","228","n/e","3201"
"13.04.2016 18:00 - 13.04.2016 19:00","n/e","20","n/e","3201"
"13.04.2016 19:00 - 13.04.2016 20:00","n/e","106","n/e","3201"
"13.04.2016 20:00 - 13.04.2016 21:00","n/e","36","n/e","3201"
"13.04.2016 21:00 - 13.04.2016 22:00","n/e","549","n/e","3297"
"13.04.2016 22:00 - 13.04.2016 23:00","n/e","731","n/e","2988"
"13.04.2016 23:00 - 14.04.2016 00:00","n/e","1406","n/e","2533"
"14.04.2016 00:00 - 14.04.2016 01:00","n/e","676","n/e","2761"
"14.04.2016 01:00 - 14.04.2016 02:00","n/e","375","n/e","2811"
"14.04.2016 02:00 - 14.04.2016 03:00","n/e","161","n/e","2756"
"14.04.2016 03:00 - 14.04.2016 04:00","n/e","130","n/e","2881"
"14.04.2016 04:00 - 14.04.2016 05:00","n/e","108","n/e","2878"
"14.04.2016 05:00 - 14.04.2016 06:00","n/e","123","n/e","2879"
"14.04.2016 06:00 - 14.04.2016 07:00","n/e","101","n/e","2915"
"14.04.2016 07:00 - 14.04.2016 08:00","n/e","601","n/e","2900"
"14.04.2016 08:00 - 14.04.2016 09:00","n/e","663","n/e","2943"
"14.04.2016 09:00 - 14.04.2016 10:00","n/e","640","n/e","2788"
"14.04.2016 10:00 - 14.04.2016 11:00","n/e","291","n/e","2557"
"14.04.2016 11:00 - 14.04.2016 12:00","n/e","236","n/e","3030"
"14.04.2016 12:00 - 14.04.2016 13:00","n/e","888","n/e","3320"
"14.04.2016 13:00 - 14.04.2016 14:00","n/e","851","n/e","3316"
"14.04.2016 14:00 - 14.04.2016 15:00","n/e","694","n/e","3162"
"14.04.2016 15:00 - 14.04.2016 16:00","n/e","657","n/e","3166"
"14.04.2016 16:00 - 14.04.2016 17:00","n/e","100","n/e","3100"
"14.04.2016 17:00 - 14.04.2016 18:00","n/e","100","n/e","3300"
"14.04.2016 18:00 - 14.04.2016 19:00","n/e","113","n/e","3150"
"14.04.2016 19:00 - 14.04.2016 20:00","n/e","101","n/e","3301"
"14.04.2016 20:00 - 14.04.2016 21:00","n/e","148","n/e","3348"
"14.04.2016 21:00 - 14.04.2016 22:00","n/e","167","n/e","2913"
"14.04.2016 22:00 - 14.04.2016 23:00","n/e","390","n/e","2856"
"14.04.2016 23:00 - 15.04.2016 00:00","n/e","1482","n/e","2736"
"15.04.2016 00:00 - 15.04.2016 01:00","n/e","840","n/e","2288"
"15.04.2016 01:00 - 15.04.2016 02:00","n/e","603","n/e","2465"
"15.04.2016 02:00 - 15.04.2016 03:00","n/e","129","n/e","2505"
"15.04.2016 03:00 - 15.04.2016 04:00","n/e","157","n/e","2657"
"15.04.2016 04:00 - 15.04.2016 05:00","n/e","151","n/e","2507"
"15.04.2016 05:00 - 15.04.2016 06:00","n/e","23","n/e","2663"
"15.04.2016 06:00 - 15.04.2016 07:00","n/e","297","n/e","2655"
"15.04.2016 07:00 - 15.04.2016 08:00","n/e","790","n/e","2555"
"15.04.2016 08:00 - 15.04.2016 09:00","n/e","1615","n/e","2715"
"15.04.2016 09:00 - 15.04.2016 10:00","n/e","1775","n/e","2573"
"15.04.2016 10:00 - 15.04.2016 11:00","n/e","1582","n/e","2657"
"15.04.2016 11:00 - 15.04.2016 12:00","n/e","1525","n/e","2678"
"15.04.2016 12:00 - 15.04.2016 13:00","n/e","1356","n/e","2803"
"15.04.2016 13:00 - 15.04.2016 14:00","n/e","1009","n/e","3305"
"15.04.2016 14:00 - 15.04.2016 15:00","n/e","809","n/e","3290"
"15.04.2016 15:00 - 15.04.2016 16:00","n/e","273","n/e","3223"
"15.04.2016 16:00 - 15.04.2016 17:00","n/e","336","n/e","3536"
"15.04.2016 17:00 - 15.04.2016 18:00","n/e","225","n/e","3425"
"15.04.2016 18:00 - 15.04.2016 19:00","n/e","27","n/e","3227"
"15.04.2016 19:00 - 15.04.2016 20:00","n/e","138","n/e","3299"
"15.04.2016 20:00 - 15.04.2016 21:00","n/e","86","n/e","3286"
"15.04.2016 21:00 - 15.04.2016 22:00","n/e","315","n/e","3515"
"15.04.2016 22:00 - 15.04.2016 23:00","n/e","754","n/e","3341"
"15.04.2016 23:00 - 16.04.2016 00:00","n/e","991","n/e","2933"
"16.04.2016 00:00 - 16.04.2016 01:00","n/e","418","n/e","2506"
"16.04.2016 01:00 - 16.04.2016 02:00","n/e","562","n/e","2393"
"16.04.2016 02:00 - 16.04.2016 03:00","n/e","417","n/e","2543"
"16.04.2016 03:00 - 16.04.2016 04:00","n/e","538","n/e","2826"
"16.04.2016 04:00 - 16.04.2016 05:00","n/e","423","n/e","2638"
"16.04.2016 05:00 - 16.04.2016 06:00","n/e","412","n/e","2658"
"16.04.2016 06:00 - 16.04.2016 07:00","n/e","548","n/e","2461"
"16.04.2016 07:00 - 16.04.2016 08:00","n/e","920","n/e","1870"
"16.04.2016 08:00 - 16.04.2016 09:00","n/e","565","n/e","1754"
"16.04.2016 09:00 - 16.04.2016 10:00","n/e","963","n/e","1504"
"16.04.2016 10:00 - 16.04.2016 11:00","n/e","1777","n/e","1598"
"16.04.2016 11:00 - 16.04.2016 12:00","n/e","1054","n/e","1532"
"16.04.2016 12:00 - 16.04.2016 13:00","n/e","1152","n/e","1555"
"16.04.2016 13:00 - 16.04.2016 14:00","n/e","1200","n/e","1581"
"16.04.2016 14:00 - 16.04.2016 15:00","n/e","1198","n/e","1586"
"16.04.2016 15:00 - 16.04.2016 16:00","n/e","1146","n/e","1676"
"16.04.2016 16:00 - 16.04.2016 17:00","n/e","983","n/e","1755"
"16.04.2016 17:00 - 16.04.2016 18:00","n/e","839","n/e","2577"
"16.04.2016 18:00 - 16.04.2016 19:00","n/e","603","n/e","3008"
"16.04.2016 19:00 - 16.04.2016 20:00","n/e","501","n/e","2589"
"16.04.2016 20:00 - 16.04.2016 21:00","n/e","542","n/e","2616"
"16.04.2016 21:00 - 16.04.2016 22:00","n/e","989","n/e","2663"
"16.04.2016 22:00 - 16.04.2016 23:00","n/e","1082","n/e","2222"
"16.04.2016 23:00 - 17.04.2016 00:00","n/e","1132","n/e","2293"
"17.04.2016 00:00 - 17.04.2016 01:00","n/e","578","n/e","1974"
"17.04.2016 01:00 - 17.04.2016 02:00","n/e","660","n/e","1968"
"17.04.2016 02:00 - 17.04.2016 03:00","n/e","1128","n/e","2218"
"17.04.2016 03:00 - 17.04.2016 04:00","n/e","871","n/e","2520"
"17.04.2016 04:00 - 17.04.2016 05:00","n/e","1380","n/e","2370"
"17.04.2016 05:00 - 17.04.2016 06:00","n/e","1396","n/e","2620"
"17.04.2016 06:00 - 17.04.2016 07:00","n/e","918","n/e","2434"
"17.04.2016 07:00 - 17.04.2016 08:00","n/e","1754","n/e","2209"
"17.04.2016 08:00 - 17.04.2016 09:00","n/e","1239","n/e","2284"
"17.04.2016 09:00 - 17.04.2016 10:00","n/e","1607","n/e","2251"
"17.04.2016 10:00 - 17.04.2016 11:00","n/e","1787","n/e","1911"
"17.04.2016 11:00 - 17.04.2016 12:00","n/e","2488","n/e","1892"
"17.04.2016 12:00 - 17.04.2016 13:00","n/e","3113","n/e","1945"
"17.04.2016 13:00 - 17.04.2016 14:00","n/e","1051","n/e","2015"
"17.04.2016 14:00 - 17.04.2016 15:00","n/e","1036","n/e","1993"
"17.04.2016 15:00 - 17.04.2016 16:00","n/e","994","n/e","2038"
"17.04.2016 16:00 - 17.04.2016 17:00","n/e","888","n/e","2249"
"17.04.2016 17:00 - 17.04.2016 18:00","n/e","656","n/e","2523"
"17.04.2016 18:00 - 17.04.2016 19:00","n/e","202","n/e","3402"
"17.04.2016 19:00 - 17.04.2016 20:00","n/e","556","n/e","3027"
"17.04.2016 20:00 - 17.04.2016 21:00","n/e","548","n/e","2564"
"17.04.2016 21:00 - 17.04.2016 22:00","n/e","633","n/e","1942"
"17.04.2016 22:00 - 17.04.2016 23:00","n/e","706","n/e","1779"
"17.04.2016 23:00 - 18.04.2016 00:00","n/e","729","n/e","1943"
"18.04.2016 00:00 - 18.04.2016 01:00","n/e","1020","n/e","1821"
"18.04.2016 01:00 - 18.04.2016 02:00","n/e","897","n/e","2005"
"18.04.2016 02:00 - 18.04.2016 03:00","n/e","1045","n/e","2101"
"18.04.2016 03:00 - 18.04.2016 04:00","n/e","509","n/e","2092"
"18.04.2016 04:00 - 18.04.2016 05:00","n/e","728","n/e","2023"
"18.04.2016 05:00 - 18.04.2016 06:00","n/e","431","n/e","2086"
"18.04.2016 06:00 - 18.04.2016 07:00","n/e","1497","n/e","2623"
"18.04.2016 07:00 - 18.04.2016 08:00","n/e","1730","n/e","2264"
"18.04.2016 08:00 - 18.04.2016 09:00","n/e","2952","n/e","2638"
"18.04.2016 09:00 - 18.04.2016 10:00","n/e","2499","n/e","2496"
"18.04.2016 10:00 - 18.04.2016 11:00","n/e","2453","n/e","2529"
"18.04.2016 11:00 - 18.04.2016 12:00","n/e","1493","n/e","2756"
"18.04.2016 12:00 - 18.04.2016 13:00","n/e","1374","n/e","2791"
"18.04.2016 13:00 - 18.04.2016 14:00","n/e","1001","n/e","2703"
"18.04.2016 14:00 - 18.04.2016 15:00","n/e","1104","n/e","3264"
"18.04.2016 15:00 - 18.04.2016 16:00","n/e","561","n/e","3242"
"18.04.2016 16:00 - 18.04.2016 17:00","n/e","405","n/e","3102"
"18.04.2016 17:00 - 18.04.2016 18:00","n/e","441","n/e","3120"
"18.04.2016 18:00 - 18.04.2016 19:00","n/e","668","n/e","3281"
"18.04.2016 19:00 - 18.04.2016 20:00","n/e","814","n/e","2966"
"18.04.2016 20:00 - 18.04.2016 21:00","n/e","612","n/e","2694"
"18.04.2016 21:00 - 18.04.2016 22:00","n/e","1038","n/e","2338"
"18.04.2016 22:00 - 18.04.2016 23:00","n/e","1489","n/e","2336"
"18.04.2016 23:00 - 19.04.2016 00:00","n/e","1440","n/e","2232"
"19.04.2016 00:00 - 19.04.2016 01:00","n/e","328","n/e","1963"
"19.04.2016 01:00 - 19.04.2016 02:00","n/e","347","n/e","2220"
"19.04.2016 02:00 - 19.04.2016 03:00","n/e","301","n/e","2209"
"19.04.2016 03:00 - 19.04.2016 04:00","n/e","1","n/e","2295"
"19.04.2016 04:00 - 19.04.2016 05:00","n/e","1","n/e","2196"
"19.04.2016 05:00 - 19.04.2016 06:00","n/e","17","n/e","2135"
"19.04.2016 06:00 - 19.04.2016 07:00","n/e","187","n/e","2311"
"19.04.2016 07:00 - 19.04.2016 08:00","n/e","737","n/e","2239"
"19.04.2016 08:00 - 19.04.2016 09:00","n/e","1572","n/e","2174"
"19.04.2016 09:00 - 19.04.2016 10:00","n/e","1556","n/e","2083"
"19.04.2016 10:00 - 19.04.2016 11:00","n/e","1000","n/e","2184"
"19.04.2016 11:00 - 19.04.2016 12:00","n/e","528","n/e","2341"
"19.04.2016 12:00 - 19.04.2016 13:00","n/e","452","n/e","2460"
"19.04.2016 13:00 - 19.04.2016 14:00","n/e","278","n/e","2307"
"19.04.2016 14:00 - 19.04.2016 15:00","n/e","201","n/e","2659"
"19.04.2016 15:00 - 19.04.2016 16:00","n/e","43","n/e","2706"
"19.04.2016 16:00 - 19.04.2016 17:00","n/e","65","n/e","2767"
"19.04.2016 17:00 - 19.04.2016 18:00","n/e","596","n/e","2790"
"19.04.2016 18:00 - 19.04.2016 19:00","n/e","319","n/e","2559"
"19.04.2016 19:00 - 19.04.2016 20:00","n/e","831","n/e","2603"
"19.04.2016 20:00 - 19.04.2016 21:00","n/e","743","n/e","2374"
"19.04.2016 21:00 - 19.04.2016 22:00","n/e","1683","n/e","2650"
"19.04.2016 22:00 - 19.04.2016 23:00","n/e","1028","n/e","2357"
"19.04.2016 23:00 - 20.04.2016 00:00","n/e","724","n/e","2107"
"20.04.2016 00:00 - 20.04.2016 01:00","n/e","503","n/e","2081"
"20.04.2016 01:00 - 20.04.2016 02:00","n/e","400","n/e","2306"
"20.04.2016 02:00 - 20.04.2016 03:00","n/e","848","n/e","2579"
"20.04.2016 03:00 - 20.04.2016 04:00","n/e","260","n/e","2570"
"20.04.2016 04:00 - 20.04.2016 05:00","n/e","327","n/e","2460"
"20.04.2016 05:00 - 20.04.2016 06:00","n/e","158","n/e","2288"
"20.04.2016 06:00 - 20.04.2016 07:00","n/e","294","n/e","2254"
"20.04.2016 07:00 - 20.04.2016 08:00","n/e","532","n/e","2255"
"20.04.2016 08:00 - 20.04.2016 09:00","n/e","613","n/e","1883"
"20.04.2016 09:00 - 20.04.2016 10:00","n/e","964","n/e","2181"
"20.04.2016 10:00 - 20.04.2016 11:00","n/e","675","n/e","2380"
"20.04.2016 11:00 - 20.04.2016 12:00","n/e","680","n/e","2235"
"20.04.2016 12:00 - 20.04.2016 13:00","n/e","896","n/e","2355"
"20.04.2016 13:00 - 20.04.2016 14:00","n/e","903","n/e","2544"
"20.04.2016 14:00 - 20.04.2016 15:00","n/e","685","n/e","2709"
"20.04.2016 15:00 - 20.04.2016 16:00","n/e","611","n/e","2803"
"20.04.2016 16:00 - 20.04.2016 17:00","n/e","417","n/e","2997"
"20.04.2016 17:00 - 20.04.2016 18:00","n/e","209","n/e","2951"
"20.04.2016 18:00 - 20.04.2016 19:00","n/e","494","n/e","2826"
"20.04.2016 19:00 - 20.04.2016 20:00","n/e","548","n/e","2719"
"20.04.2016 20:00 - 20.04.2016 21:00","n/e","553","n/e","2658"
"20.04.2016 21:00 - 20.04.2016 22:00","n/e","479","n/e","2387"
"20.04.2016 22:00 - 20.04.2016 23:00","n/e","471","n/e","2127"
"20.04.2016 23:00 - 21.04.2016 00:00","n/e","844","n/e","1878"
"21.04.2016 00:00 - 21.04.2016 01:00","n/e","435","n/e","1906"
"21.04.2016 01:00 - 21.04.2016 02:00","n/e","115","n/e","1993"
"21.04.2016 02:00 - 21.04.2016 03:00","n/e","110","n/e","2124"
"21.04.2016 03:00 - 21.04.2016 04:00","n/e","132","n/e","2154"
"21.04.2016 04:00 - 21.04.2016 05:00","n/e","203","n/e","2165"
"21.04.2016 05:00 - 21.04.2016 06:00","n/e","53","n/e","2193"
"21.04.2016 06:00 - 21.04.2016 07:00","n/e","277","n/e","2490"
"21.04.2016 07:00 - 21.04.2016 08:00","n/e","736","n/e","2268"
"21.04.2016 08:00 - 21.04.2016 09:00","n/e","883","n/e","1878"
"21.04.2016 09:00 - 21.04.2016 10:00","n/e","2163","n/e","2332"
"21.04.2016 10:00 - 21.04.2016 11:00","n/e","1588","n/e","2372"
"21.04.2016 11:00 - 21.04.2016 12:00","n/e","1323","n/e","2353"
"21.04.2016 12:00 - 21.04.2016 13:00","n/e","1283","n/e","2605"
"21.04.2016 13:00 - 21.04.2016 14:00","n/e","1620","n/e","2962"
"21.04.2016 14:00 - 21.04.2016 15:00","n/e","1297","n/e","2746"
"21.04.2016 15:00 - 21.04.2016 16:00","n/e","1267","n/e","2699"
"21.04.2016 16:00 - 21.04.2016 17:00","n/e","1138","n/e","2796"
"21.04.2016 17:00 - 21.04.2016 18:00","n/e","1059","n/e","2835"
"21.04.2016 18:00 - 21.04.2016 19:00","n/e","1356","n/e","2673"
"21.04.2016 19:00 - 21.04.2016 20:00","n/e","964","n/e","2382"
"21.04.2016 20:00 - 21.04.2016 21:00","n/e","721","n/e","2257"
"21.04.2016 21:00 - 21.04.2016 22:00","n/e","1119","n/e","2083"
"21.04.2016 22:00 - 21.04.2016 23:00","n/e","1074","n/e","1739"
"21.04.2016 23:00 - 22.04.2016 00:00","n/e","1124","n/e","1985"
"22.04.2016 00:00 - 22.04.2016 01:00","n/e","640","n/e","2006"
"22.04.2016 01:00 - 22.04.2016 02:00","n/e","661","n/e","2182"
"22.04.2016 02:00 - 22.04.2016 03:00","n/e","758","n/e","2156"
"22.04.2016 03:00 - 22.04.2016 04:00","n/e","349","n/e","2253"
"22.04.2016 04:00 - 22.04.2016 05:00","n/e","574","n/e","2205"
"22.04.2016 05:00 - 22.04.2016 06:00","n/e","333","n/e","2148"
"22.04.2016 06:00 - 22.04.2016 07:00","n/e","531","n/e","2347"
"22.04.2016 07:00 - 22.04.2016 08:00","n/e","944","n/e","2211"
"22.04.2016 08:00 - 22.04.2016 09:00","n/e","996","n/e","2096"
