"Time (CET/CEST)","BZN|CH > BZN|FR Day Ahead [MW]","BZN|CH > BZN|FR Total [MW]","BZN|FR > BZN|CH Day Ahead [MW]","BZN|FR > BZN|CH Total [MW]"
"04.01.2016 07:00 - 04.01.2016 08:00","n/e","0","n/e","3200"
"04.01.2016 08:00 - 04.01.2016 09:00","n/e","0","n/e","3200"
"04.01.2016 09:00 - 04.01.2016 10:00","n/e","0","n/e","3200"
"04.01.2016 10:00 - 04.01.2016 11:00","n/e","0","n/e","3200"
"04.01.2016 11:00 - 04.01.2016 12:00","n/e","0","n/e","3200"
"04.01.2016 12:00 - 04.01.2016 13:00","n/e","0","n/e","3200"
"04.01.2016 13:00 - 04.01.2016 14:00","n/e","0","n/e","3200"
"04.01.2016 14:00 - 04.01.2016 15:00","n/e","0","n/e","3200"
"04.01.2016 15:00 - 04.01.2016 16:00","n/e","0","n/e","3200"
"04.01.2016 16:00 - 04.01.2016 17:00","n/e","0","n/e","3200"
"04.01.2016 17:00 - 04.01.2016 18:00","n/e","0","n/e","3200"
"04.01.2016 18:00 - 04.01.2016 19:00","n/e","0","n/e","3200"
"04.01.2016 19:00 - 04.01.2016 20:00","n/e","0","n/e","3200"
"04.01.2016 20:00 - 04.01.2016 21:00","n/e","0","n/e","3200"
"04.01.2016 21:00 - 04.01.2016 22:00","n/e","0","n/e","3200"
"04.01.2016 22:00 - 04.01.2016 23:00","n/e","15","n/e","3215"
"04.01.2016 23:00 - 05.01.2016 00:00","n/e","0","n/e","3200"
"05.01.2016 00:00 - 05.01.2016 01:00","n/e","85","n/e","3200"
"05.01.2016 01:00 - 05.01.2016 02:00","n/e","87","n/e","3200"
"05.01.2016 02:00 - 05.01.2016 03:00","n/e","112","n/e","3200"
"05.01.2016 03:00 - 05.01.2016 04:00","n/e","0","n/e","3200"
"05.01.2016 04:00 - 05.01.2016 05:00","n/e","0","n/e","3200"
"05.01.2016 05:00 - 05.01.2016 06:00","n/e","141","n/e","3201"
"05.01.2016 06:00 - 05.01.2016 07:00","n/e","0","n/e","3200"
"05.01.2016 07:00 - 05.01.2016 08:00","n/e","0","n/e","3200"
"05.01.2016 08:00 - 05.01.2016 09:00","n/e","0","n/e","3200"
"05.01.2016 09:00 - 05.01.2016 10:00","n/e","0","n/e","3200"
"05.01.2016 10:00 - 05.01.2016 11:00","n/e","0","n/e","3200"
"05.01.2016 11:00 - 05.01.2016 12:00","n/e","0","n/e","3200"
"05.01.2016 12:00 - 05.01.2016 13:00","n/e","0","n/e","3200"
"05.01.2016 13:00 - 05.01.2016 14:00","n/e","0","n/e","3200"
"05.01.2016 14:00 - 05.01.2016 15:00","n/e","0","n/e","3200"
"05.01.2016 15:00 - 05.01.2016 16:00","n/e","0","n/e","3200"
"05.01.2016 16:00 - 05.01.2016 17:00","n/e","0","n/e","3200"
"05.01.2016 17:00 - 05.01.2016 18:00","n/e","0","n/e","3200"
"05.01.2016 18:00 - 05.01.2016 19:00","n/e","6","n/e","3200"
"05.01.2016 19:00 - 05.01.2016 20:00","n/e","0","n/e","3200"
"05.01.2016 20:00 - 05.01.2016 21:00","n/e","0","n/e","3200"
"05.01.2016 21:00 - 05.01.2016 22:00","n/e","0","n/e","3200"
"05.01.2016 22:00 - 05.01.2016 23:00","n/e","0","n/e","3200"
"05.01.2016 23:00 - 06.01.2016 00:00","n/e","0","n/e","3200"
"06.01.2016 00:00 - 06.01.2016 01:00","n/e","20","n/e","3220"
"06.01.2016 01:00 - 06.01.2016 02:00","n/e","0","n/e","3126"
"06.01.2016 02:00 - 06.01.2016 03:00","n/e","0","n/e","3098"
"06.01.2016 03:00 - 06.01.2016 04:00","n/e","0","n/e","3036"
"06.01.2016 04:00 - 06.01.2016 05:00","n/e","9","n/e","2966"
"06.01.2016 05:00 - 06.01.2016 06:00","n/e","140","n/e","3281"
"06.01.2016 06:00 - 06.01.2016 07:00","n/e","0","n/e","3200"
"06.01.2016 07:00 - 06.01.2016 08:00","n/e","1","n/e","3201"
"06.01.2016 08:00 - 06.01.2016 09:00","n/e","0","n/e","3200"
"06.01.2016 09:00 - 06.01.2016 10:00","n/e","0","n/e","3200"
"06.01.2016 10:00 - 06.01.2016 11:00","n/e","0","n/e","3200"
"06.01.2016 11:00 - 06.01.2016 12:00","n/e","0","n/e","3200"
"06.01.2016 12:00 - 06.01.2016 13:00","n/e","0","n/e","3200"
"06.01.2016 13:00 - 06.01.2016 14:00","n/e","0","n/e","3200"
"06.01.2016 14:00 - 06.01.2016 15:00","n/e","35","n/e","3210"
"06.01.2016 15:00 - 06.01.2016 16:00","n/e","11","n/e","3211"
"06.01.2016 16:00 - 06.01.2016 17:00","n/e","10","n/e","3210"
"06.01.2016 17:00 - 06.01.2016 18:00","n/e","0","n/e","3200"
"06.01.2016 18:00 - 06.01.2016 19:00","n/e","0","n/e","3200"
"06.01.2016 19:00 - 06.01.2016 20:00","n/e","0","n/e","3200"
"06.01.2016 20:00 - 06.01.2016 21:00","n/e","0","n/e","3200"
"06.01.2016 21:00 - 06.01.2016 22:00","n/e","0","n/e","3200"
"06.01.2016 22:00 - 06.01.2016 23:00","n/e","0","n/e","3200"
"06.01.2016 23:00 - 07.01.2016 00:00","n/e","1","n/e","3200"
"07.01.2016 00:00 - 07.01.2016 01:00","n/e","0","n/e","3200"
"07.01.2016 01:00 - 07.01.2016 02:00","n/e","24","n/e","3200"
"07.01.2016 02:00 - 07.01.2016 03:00","n/e","0","n/e","3200"
"07.01.2016 03:00 - 07.01.2016 04:00","n/e","1","n/e","3200"
"07.01.2016 04:00 - 07.01.2016 05:00","n/e","3","n/e","3202"
"07.01.2016 05:00 - 07.01.2016 06:00","n/e","0","n/e","3200"
"07.01.2016 06:00 - 07.01.2016 07:00","n/e","0","n/e","3200"
"07.01.2016 07:00 - 07.01.2016 08:00","n/e","0","n/e","3200"
"07.01.2016 08:00 - 07.01.2016 09:00","n/e","0","n/e","3200"
"07.01.2016 09:00 - 07.01.2016 10:00","n/e","0","n/e","3200"
"07.01.2016 10:00 - 07.01.2016 11:00","n/e","0","n/e","3200"
"07.01.2016 11:00 - 07.01.2016 12:00","n/e","0","n/e","3200"
"07.01.2016 12:00 - 07.01.2016 13:00","n/e","0","n/e","3200"
"07.01.2016 13:00 - 07.01.2016 14:00","n/e","0","n/e","3200"
"07.01.2016 14:00 - 07.01.2016 15:00","n/e","0","n/e","3200"
"07.01.2016 15:00 - 07.01.2016 16:00","n/e","0","n/e","3200"
"07.01.2016 16:00 - 07.01.2016 17:00","n/e","0","n/e","3200"
"07.01.2016 17:00 - 07.01.2016 18:00","n/e","0","n/e","3200"
